,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,73628,231651,-66948,374972,1587912033.3965774,1587912033.3970802,1587912033.3975372,1587912033.3979948,1587912033.3970757,1587912033.397533,1587912033.3979893,1587912033.398442
1,73026,231881,-67152,374837,1587912033.3984525,1587912033.4090886,1587912033.4095516,1587912033.4100113,1587912033.409083,1587912033.4095476,1587912033.4100075,1587912033.4104586
2,73369,232116,-66892,374831,1587912033.4104693,1587912033.4211318,1587912033.421583,1587912033.4220397,1587912033.421127,1587912033.4215791,1587912033.422036,1587912033.4224887
3,73115,231740,-67063,374676,1587912033.4225008,1587912033.4330702,1587912033.433531,1587912033.433983,1587912033.433066,1587912033.4335272,1587912033.433979,1587912033.4344318
4,73162,231969,-66916,374472,1587912033.4344416,1587912033.4453735,1587912033.4458447,1587912033.446339,1587912033.4453642,1587912033.4458392,1587912033.4463336,1587912033.4468222
5,73082,231564,-66789,374624,1587912033.4468417,1587912033.4577103,1587912033.4581783,1587912033.458655,1587912033.4577034,1587912033.4581742,1587912033.4586504,1587912033.4591014
6,72978,231556,-67110,374440,1587912033.4591124,1587912033.4696956,1587912033.4701443,1587912033.470597,1587912033.4696913,1587912033.4701405,1587912033.4705932,1587912033.4710436
7,73543,231671,-66830,374588,1587912033.4710536,1587912033.4816115,1587912033.4820566,1587912033.4825113,1587912033.4816074,1587912033.482053,1587912033.4825075,1587912033.4930663
8,73112,231477,-67004,374754,1587912033.4930775,1587912033.4935367,1587912033.493984,1587912033.4944365,1587912033.4935315,1587912033.4939792,1587912033.4944322,1587912033.5050697
9,73623,232060,-67077,374610,1587912033.5050814,1587912033.5055351,1587912033.5059812,1587912033.506435,1587912033.5055313,1587912033.5059774,1587912033.5064309,1587912033.5169797
10,73541,231952,-67010,374841,1587912033.51699,1587912033.5174384,1587912033.5178843,1587912033.5183332,1587912033.5174346,1587912033.5178802,1587912033.5183294,1587912033.5288823
11,73303,232001,-67144,374732,1587912033.5288925,1587912033.5293398,1587912033.5297904,1587912033.5302422,1587912033.529336,1587912033.5297868,1587912033.5302377,1587912033.5407863
12,73324,232233,-66877,374721,1587912033.540796,1587912033.541243,1587912033.541686,1587912033.542135,1587912033.5412383,1587912033.5416822,1587912033.5421312,1587912033.5526838
13,72734,231939,-67212,374782,1587912033.552694,1587912033.553139,1587912033.5535913,1587912033.5540407,1587912033.553135,1587912033.5535877,1587912033.5540366,1587912033.5646527
14,73096,232195,-67033,374603,1587912033.564665,1587912033.5651195,1587912033.5655646,1587912033.5660186,1587912033.5651147,1587912033.5655608,1587912033.5660148,1587912033.57657
15,72990,231822,-66735,374819,1587912033.5765805,1587912033.5770268,1587912033.5774813,1587912033.577931,1587912033.577023,1587912033.5774775,1587912033.577927,1587912033.5886028
16,73077,231745,-66956,374772,1587912033.5886133,1587912033.5890625,1587912033.5895097,1587912033.5899653,1587912033.5890572,1587912033.589505,1587912033.5899596,1587912033.600519
17,73366,231891,-66834,374597,1587912033.6005301,1587912033.600977,1587912033.6014292,1587912033.601877,1587912033.6009731,1587912033.6014254,1587912033.6018732,1587912033.612427
18,73209,231595,-67040,374787,1587912033.6124375,1587912033.6128814,1587912033.613326,1587912033.613782,1587912033.6128776,1587912033.6133223,1587912033.613778,1587912033.6243315
19,73543,231692,-66951,374611,1587912033.6243415,1587912033.6248713,1587912033.6253202,1587912033.6257725,1587912033.6248658,1587912033.6253164,1587912033.625769,1587912033.6363254
