,3946.21 g,4145.83 g,4315.0 g,4511.98 g,4713.46 g,4813.52 g,4992.03 g,5193.54 g,5390.52 g,5589.85 g
430,677330,700222,719748,741955,764512,775495,796140,819057,841228,863608
431,677519,700309,719418,741846,764110,776259,796135,819044,841402,863978
432,677719,700477,719146,742036,764313,776440,796111,818985,841473,864075
433,677508,700442,719177,741621,764584,776309,795902,818982,841160,864247
434,677656,700268,719101,741300,764614,776220,795787,818829,841142,864143
435,677764,700221,719283,741341,764845,775747,795571,818908,841002,863790
436,677611,699925,719301,741166,764399,775693,795850,819049,841020,863755
437,677626,699912,719452,741642,764160,775567,796318,818939,840997,863494
438,677399,700030,False,741890,764124,775470,False,819174,841023,863586
439,677514,700050,719470,741957,764039,775914,-4037009,818917,841283,863750
440,677602,700265,719272,741878,764335,776108,398830,818807,841214,863705
441,677654,700411,718857,741582,764420,776283,796097,818965,841308,864149
442,677798,700413,718825,741325,764565,776447,796153,818771,841414,864107
443,677662,700388,718942,741271,764853,False,796189,818982,841318,864075
444,False,False,719193,741390,764767,1552281,796079,818908,841350,863935
445,-5387777,6291455,719748,741665,764794,16719,795888,818900,841251,863557
446,677499,700083,719796,741564,764598,775830,796113,819030,841235,863520
447,677234,699958,719641,741796,764356,775717,796000,819020,841182,863498
448,677505,699842,719506,741985,764627,775752,796134,819376,840978,863658
449,677420,700164,719303,741824,764413,776078,796181,819131,841300,863751
450,677614,700217,719241,741700,False,775985,796092,818607,841466,863912
451,677702,700304,719001,741510,764041,776231,796093,818683,841286,864159
452,677404,700391,718972,741361,764275,776271,795974,818606,841426,863963
453,677446,700263,False,741364,764541,775922,795856,818783,841452,863783
454,677398,700217,718663,741388,764981,776001,795900,818972,841422,863844
455,677375,699988,718676,741752,765071,775774,795795,818997,841271,863706
456,677596,699975,718904,741942,765049,775640,795905,819272,841079,863609
457,677428,700258,719384,741888,764629,False,796054,819040,841420,863706
458,677644,700275,719913,741941,763884,776069,795960,818872,841221,863848
459,677701,700504,720101,741793,763762,775713,796253,818900,841167,864305
460,677433,700549,720184,741545,763916,775339,796203,818868,841187,864320
461,False,False,719647,741379,764123,775383,795852,818968,841029,863898
462,-2097153,-1441793,718940,741296,764739,775723,795807,818803,841206,863703
463,677609,700292,718675,741535,765087,775936,795577,818851,841163,863425
464,677628,699931,718471,741728,765276,776318,795755,819165,841085,863382
465,677458,700202,718943,742008,765175,776357,796009,819070,841211,863599
466,677362,700336,719320,742224,764698,776153,796271,819076,False,863826
467,677519,700114,719732,741950,764203,776011,796527,818921,841041,864233
468,677432,700256,720274,741645,763662,775623,796533,818705,841297,864203
469,677356,700050,720088,741379,763743,775661,796184,818749,841398,864048
470,677725,700234,719491,741065,764144,775942,795876,818760,841198,863925
471,677750,700439,718987,741178,764338,775861,795785,818910,841368,863550
472,677786,700255,718626,741382,764959,776240,796024,819079,841415,863680
473,677724,False,718664,741844,765342,776305,795929,818875,841450,863463
474,677417,-5571617,718877,742117,765165,776211,796088,819061,841344,863468
475,677651,350898,719507,741902,False,775934,796242,818857,841171,863782
476,677545,700192,719916,742052,764863,775479,796241,818678,841083,863962
477,677683,700151,719914,741716,765364,775567,796528,818809,840690,864239
478,False,700209,720012,741403,765317,775403,796263,818725,840685,864265
479,677787,699924,719577,741340,764730,775587,795837,818795,841080,864019
480,677556,700142,718975,741183,764287,776168,795880,818896,841273,863751
481,677206,700172,718874,741298,763693,776485,795822,819098,False,863276
482,677262,700024,718687,741591,763784,776343,795865,819051,-1048577,863413
483,677323,700303,719185,742014,764268,False,796085,818914,841586,863611
484,677497,700147,719810,742354,764531,-4359329,796416,819053,841268,863843
485,677606,700109,720067,741944,764947,388858,796850,819078,841252,864191
486,677693,700235,720070,741747,765123,775470,796455,818841,840943,864082
487,677735,700040,719296,741602,764996,775396,796190,818777,840827,864083
488,677615,700184,718938,741519,764682,775314,795997,818635,840866,864137
489,677698,700230,718904,741510,764128,775778,795661,False,841053,863766
490,677634,700153,718951,741337,763962,776533,795883,819042,841541,863487
491,677297,700201,719429,741600,763927,776604,795854,819131,841554,863407
492,677412,700225,719619,741974,763994,776499,796012,818980,841591,863508
493,677439,700424,719678,741884,764473,775729,796491,818646,841571,863973
494,677732,700361,719710,741903,764961,774883,796426,818806,841254,864266
495,678078,700265,719347,741650,765251,774929,796350,818828,841320,864433
496,677807,700265,719203,741469,765047,775513,796181,818979,841199,864154
497,677745,700115,719013,741290,764675,False,795921,818891,841014,863710
498,677571,700248,718754,741112,764357,775604,795843,818865,False,863627
499,677333,700283,False,741397,763841,775634,795551,819237,841408,863370
500,677508,700339,-5272865,741623,763884,775921,795646,819278,841391,863561
501,677290,700488,360385,741751,764188,776302,795982,819259,841429,863787
502,677437,700263,719728,742004,764491,776164,796305,819136,841506,863726
503,677586,700183,719902,742035,765044,776270,796737,818771,841236,863947
504,677538,700395,719747,742080,765098,776054,796462,818952,841155,864067
505,677859,False,719483,741725,765032,775688,796199,818832,840921,864016
506,677811,699956,719356,741303,764785,775392,795985,818873,841040,863807
507,False,700060,718979,741473,764178,775208,795521,819146,841351,863486
508,677093,700050,718890,741531,764033,775729,795573,818988,841313,863408
509,677247,700169,719280,741473,763999,776334,795804,819121,841448,863371
510,677491,700091,719468,741676,764167,776470,796052,819053,841385,863715
511,677539,700052,719760,741848,764644,776336,796514,818795,841179,864152
512,677923,700305,719680,742063,764900,False,796432,818809,841526,864142
513,677780,700277,False,741983,765158,3102767,796559,818691,841361,864104
514,677714,700366,719277,741688,765061,388803,796272,818804,False,864111
515,677463,700396,719093,741494,764592,775524,795952,818828,841039,False
516,677185,700281,719058,741397,764415,775437,795817,818783,841338,864276
517,677309,700549,719430,741651,764182,775425,795531,819030,841322,864361
518,677278,700309,719688,741669,764259,775868,795789,818848,841380,863732
519,677428,700151,719554,741841,764398,776340,796239,819091,841516,863574
520,677723,700281,719663,742176,764389,776696,796386,819136,841264,863554
521,677865,False,719733,741763,764821,776563,796498,818835,841127,863554
522,677990,700239,719351,741580,764905,775899,False,818744,841176,863945
523,677692,700202,719179,741476,764776,775404,-4035681,False,841114,863883
524,False,700322,718972,741377,764603,775011,398805,-2883585,841187,863881
525,1354735,700177,719180,741763,764094,775196,795667,818877,841077,863898
526,16781,700248,719495,741614,764027,775992,795516,819098,841231,863850
527,677420,700200,False,741591,764307,776265,795390,819115,841287,863974
528,677355,700057,719616,741811,764411,776383,795791,819191,841323,863752
529,677495,700273,719278,741742,764660,776164,796239,819007,841415,863683
530,677682,700333,718965,741777,764648,775786,796538,818681,841231,863806
531,677693,700314,718580,741663,764781,775680,796868,818683,841176,863785
532,677699,700554,718949,741720,764625,775488,796595,818729,841345,863829
533,677473,700196,719446,741901,764366,775499,796241,818884,841155,863883
534,677290,700182,719541,741673,764424,775882,795889,818966,841214,863743
535,677093,700067,719766,741739,764116,776008,795410,818851,841068,863741
536,677125,700047,719778,741769,764003,776285,795494,819024,840982,863511
537,677507,700223,719560,741643,764148,776240,795814,818912,841439,863640
538,677709,700066,719247,741622,764468,776198,796353,818909,841201,863966
539,False,700252,718823,741595,False,776025,796639,819003,840928,863851
540,677517,700364,718669,741769,764576,775471,796435,818737,840971,864066
541,677353,700158,718825,742067,764505,775433,796423,818884,840855,864043
542,677146,700317,719266,741867,764298,775666,796193,818724,841204,863823
543,677160,700067,719815,741781,764282,776036,795811,818667,841057,863770
544,677446,700148,719830,741548,764346,776528,795640,819055,841087,863496
545,677447,700345,719777,741522,764516,776472,795681,818893,841310,False
546,677823,700084,719558,741650,764749,776297,795938,819101,841329,False
547,678003,700262,719096,741484,764640,775896,796210,819148,841494,863708
548,677904,700288,718928,741545,764790,775281,796448,819014,841269,863861
549,677786,False,718671,741620,764719,775367,796705,818961,841096,863977
550,677359,False,719019,741663,764554,775444,796386,818823,841081,863949
551,677188,700090,719543,741951,764600,775827,795957,818898,840964,864199
552,677079,700336,719725,741756,764359,776103,795822,818916,841131,863934
553,677262,700270,720098,741725,764278,False,False,819028,841272,863372
554,677639,700237,719927,741576,764488,776205,1191295,819291,841357,863465
555,677846,700137,719490,741230,764527,775923,796098,819116,841574,863668
556,677921,699962,719072,741518,764846,775649,796197,818929,841414,863891
557,677915,700278,718491,741683,764852,775396,796217,818913,841251,864194
558,677500,700333,False,741932,764697,775557,796332,818724,840747,864129
559,677287,700245,-535809,742139,764760,775639,796185,818862,840753,864231
560,677273,700310,719223,741799,764614,776133,796316,818989,841132,863995
561,677352,700157,719546,741703,764860,776633,796073,818930,841160,863599
562,677659,700299,719834,741469,764244,776572,795728,819063,841328,863618
563,677610,700055,719730,741022,763571,776194,795840,818959,841707,863274
564,677841,699994,719581,741189,763538,775703,795971,819203,841574,863501
565,678037,700164,719212,741440,763671,775057,796269,819092,841727,863972
566,677584,700237,718831,741828,764958,775056,796346,818887,841500,863958
567,677379,700393,719024,742044,766255,775344,796040,818964,840999,864039
568,677378,700265,719119,742036,766213,776072,796169,818979,840943,863990
569,677316,700078,719185,742189,765866,776703,796038,819017,840831,863882
570,False,700218,719558,741917,764842,776737,False,818948,841005,863686
571,False,700138,719511,741807,False,776195,4698111,818735,841178,863320
572,677439,699938,719776,741504,-4562785,775473,795843,818970,841226,863356
573,677683,700172,719487,741278,384328,775110,795855,818991,841628,863486
574,677779,700255,719095,741554,761569,775284,796245,818965,841486,863629
575,677675,700373,719186,741599,762461,775599,796217,819095,841406,864196
576,677645,700323,719075,741699,764478,776079,796090,818871,841475,864359
577,677257,700255,719202,741651,766661,776494,796208,818791,840998,864570
578,677318,700239,719451,741590,767671,776393,795976,818757,841012,864097
579,677490,700092,719435,741703,767421,776383,796050,818774,840959,863351
580,677555,700238,719410,741850,765648,776002,795884,818994,841176,863068
581,677762,False,719079,742039,763382,775639,795620,818933,841439,863246
582,677687,2800143,False,742204,761582,775250,795893,819000,841375,863541
583,677685,350824,719506,741669,761031,774807,796121,818884,841584,863660
584,677603,700277,719487,741253,762477,775291,796416,818757,841387,863801
585,677353,700472,719162,740866,764498,776003,796409,False,840965,864120
586,677505,700108,718940,740732,False,776556,795928,818910,841079,864100
587,677491,700203,719090,741308,-1285057,776761,795883,818969,841109,864045
588,677630,700347,719152,742009,767704,776246,795855,818852,841137,863925
589,677943,700101,719449,742608,767454,775681,795686,818983,841084,863476
590,677831,700163,719566,742719,765973,775115,795727,818823,841071,863293
591,677917,700083,False,742132,763866,774890,795763,818807,841327,863213
592,677717,700144,719136,741552,762142,775469,796162,818869,841136,863622
593,677212,700185,719376,740886,761837,775649,796327,818748,841083,False
594,677164,700287,719554,740281,762418,775931,796169,818947,841219,863528
595,677137,700430,719853,740292,764065,776430,796191,818804,841191,863408
596,677380,700231,719789,740862,765968,776422,795899,818800,False,863659
597,677569,699939,719295,742205,767009,776250,795694,819082,-6291457,863833
598,677429,700054,719123,743270,767249,775936,795734,818755,841403,863941
599,677782,699955,718617,743323,765997,775588,795700,818815,841389,864042
600,677764,700226,718710,742966,764714,775241,796285,818964,841580,863924
601,677618,700291,719089,741740,765206,775291,796248,818791,841460,863934
602,677477,700239,719594,740367,765382,775907,796356,819018,841427,863858
603,677087,700432,720034,739617,764858,776224,796506,818983,841013,863616
604,677296,700274,719952,740030,764457,776563,796121,818750,840540,863542
605,677638,700160,719614,741686,764049,776698,False,818961,840740,863374
606,677770,700154,719292,743105,763864,776132,-4040881,818942,841059,863704
607,678013,700207,718863,743701,764249,775400,398911,819027,841502,863819
608,677737,700413,718680,743666,764582,774749,795984,818970,841649,863671
609,677683,700243,718672,742569,764997,774874,795722,818941,841577,863883
610,677464,700068,718847,741236,765049,775893,795861,818913,841288,863860
611,677244,700206,719641,739930,764662,776479,795955,818878,841059,864019
612,677492,700202,719838,739228,764524,776787,796260,818956,840892,864115
613,677571,700336,719892,739855,764082,776477,796354,818820,False,863773
614,677600,700295,719766,741266,764001,775994,796308,818518,841315,863706
615,677777,700064,719218,742971,764285,775790,796236,818852,841612,863462
616,677899,700135,718980,743963,764749,775355,795907,818976,841529,863461
617,677862,700215,718631,743939,765473,775350,795884,818888,841429,863628
618,677597,700502,718785,743135,765807,775654,796018,818934,841108,863716
619,677324,700344,719352,741171,765387,775777,795706,818783,841049,863918
620,677255,700083,719671,739587,764759,776315,795870,818937,840945,863960
621,677136,700444,719967,739345,763801,776498,796001,818838,840674,863976
622,677460,700253,719915,740011,762941,776492,796152,818850,841154,864027
623,677737,699965,719748,741615,762783,776046,796591,819001,841349,False
624,677918,700113,719623,742957,763093,775461,796364,818836,841327,863597
625,678113,700175,719030,743708,764457,775130,796310,818976,841534,863349
626,677829,700296,718890,743649,765888,775222,796084,818838,841349,863623
627,677617,False,718999,742429,766928,775531,795756,818771,841386,863932
628,677172,700169,719107,741087,766900,776277,795697,819261,841066,864042
629,676990,699995,719578,740008,765240,776427,795685,819133,840911,864085
630,677398,700163,719842,739675,763458,776380,796097,819112,841241,863945
631,677670,700186,719997,740397,762225,776293,796136,819010,841124,863807
632,677863,700036,719819,741340,761992,775866,796129,818906,841387,863604
633,678238,700207,719149,742712,763215,775797,796444,819046,841591,863591
634,678047,700187,718860,743579,764915,775536,796338,818954,841582,863823
635,677662,700321,718364,743318,766537,775564,796306,818931,841473,863540
636,677352,700476,718421,742585,767232,775867,796191,819075,840927,863636
637,677091,700179,719003,741110,766416,775978,795745,818908,840873,863877
638,677235,700230,719365,740130,764977,776252,795620,818857,841018,864047
639,677124,700162,719899,739843,763289,776411,795590,818885,841004,863972
640,677564,700078,720009,740184,762161,776104,795852,818883,False,863582
641,678006,700086,719838,741511,False,775873,796324,819149,1682473,863577
642,678219,699969,719659,742823,764283,775613,796436,818898,16678,863659
643,678160,False,718975,743417,763140,775597,796640,818953,841631,863554
644,677461,False,718568,743240,762778,775777,796470,818941,841655,863724
645,677042,700151,718454,742140,763072,775723,795825,818774,841535,863837
646,676997,700216,718847,741211,764152,776100,795616,818829,841153,863974
647,676882,700275,719631,740312,765421,776352,795385,818820,841104,864198
648,677416,700060,720031,739808,765774,776513,795583,818810,840808,864096
649,677978,700214,720164,740537,765814,776163,795835,818830,840621,864101
650,False,700255,719920,741661,765122,775265,795942,818784,841026,863782
651,677447,700118,719415,742786,764383,775024,796330,818908,841185,863729
652,677872,700363,718928,743434,763966,775242,796442,818864,841392,863846
653,678038,700305,718565,743142,763328,False,796371,818858,841673,863696
654,678072,700183,718703,742314,763261,False,796056,818930,841606,863670
655,677608,700300,False,740856,764134,776395,795797,818811,841602,863859
656,677379,700177,2113535,740003,764700,776636,795552,818934,841333,863764
657,677237,700289,719311,740068,765195,776473,795422,818856,841060,863954
658,677008,700085,719932,740899,765206,775902,795512,818904,840875,863925
659,677234,699979,720130,742042,764852,775347,796100,819006,840583,863769
660,677601,700101,719813,742899,764539,775390,796555,818906,840885,863743
661,677979,700093,719404,743322,764092,775455,796642,818939,841233,863200
662,678099,700423,718869,743139,763980,775725,796371,818934,841754,863404
663,677750,700463,False,741967,764064,775974,796118,818750,842033,863616
664,677587,700216,False,740554,764281,776076,795885,819092,841513,863668
665,677116,700398,2875771,739649,764892,776399,795587,819159,841192,864070
666,677119,700180,360273,739769,765013,776129,795595,818980,840936,864052
667,677435,700154,719960,740821,765225,775777,795968,818892,840714,864157
668,677365,700330,719801,742150,765174,775428,False,818703,840829,864168
669,677461,700188,719742,743229,764430,775082,795469,818744,840808,864000
670,False,700221,719528,743504,764037,775355,795248,818708,841206,False
671,677510,700114,718927,742807,False,775864,795696,818756,841659,863838
672,677677,700207,718728,741793,764180,776308,796355,818961,841563,863982
673,678042,700353,718629,740431,764534,776701,796530,818815,841602,863929
674,677845,700101,718961,739891,765087,776373,796600,False,841507,863959
675,677588,700212,719469,740297,765237,775925,796429,818797,841137,863504
676,677573,False,719695,741101,765011,775571,796068,818772,840806,863197
677,677144,-532481,719854,742287,764734,775297,795928,818759,840672,863355
678,677181,700237,719719,743200,764037,775422,795719,818854,840917,863477
679,677372,700322,719322,743113,763653,775481,795745,818627,841246,864280
680,677633,700244,719147,742443,763790,775861,796020,818860,841508,864887
681,677854,700176,718749,741413,764272,776168,796176,818845,841702,864804
682,677805,699940,718882,740673,765168,776147,796458,818752,841587,864482
683,677821,699729,719406,740381,765437,776442,796502,818965,841380,863596
684,677741,700005,719390,740470,765420,776075,False,818783,841115,863076
685,677379,700229,719651,741484,764982,775518,-4456449,818976,840834,862642
686,677349,700325,719664,742359,764193,775323,796177,819000,840819,862576
687,677249,700387,719414,742909,False,775039,795712,818961,840932,863155
688,677348,700216,719150,742942,763863,775290,795594,818966,841108,863956
689,677596,700091,718863,742205,764408,775878,795734,818739,841292,864836
690,677627,699914,719031,741540,764877,776481,795951,818846,841342,865290
691,677977,699962,719418,741047,765236,776834,796327,818989,841422,864819
692,677785,700280,719823,740743,765260,776401,796346,818848,841200,863934
693,677392,700168,719982,741184,764823,776035,796232,819090,840979,862790
694,677439,700333,719643,741761,764480,775753,796098,818986,841167,862316
695,677185,700369,719330,742356,763972,775185,795760,818998,840985,862839
696,677195,700150,719166,742519,763853,775245,795837,819124,841063,863501
697,677361,700244,719106,742146,764059,775401,795966,818846,841214,864557
698,677579,700124,719356,741940,764407,775875,795942,819017,841310,865367
699,677984,700096,719581,741458,764901,776517,796043,818879,841475,865312
700,677743,700127,719668,741035,764969,776497,796030,818715,841532,864618
701,677534,700079,717930,740956,764852,776498,796157,818943,841448,False
702,677389,700106,718765,741123,764780,775934,796078,818877,841278,False
703,677177,700199,720037,741768,764276,775418,795945,819081,841070,862388
704,677402,700297,720977,742067,764366,775292,795882,819084,841055,862155
705,677497,700504,721346,742177,764250,775329,795677,818920,840911,862461
706,677665,700369,720134,742116,764313,775888,795876,819138,840846,863723
707,677897,700224,718489,741891,764627,776303,796119,819008,841069,864748
708,677835,700127,717134,741663,764494,776597,796065,818969,841100,865299
709,677839,699786,716674,741289,764566,776533,796165,818961,841268,865002
710,677581,700079,717980,741066,764408,775934,795920,818793,841259,864100
711,677388,700223,719788,741319,764111,775578,795746,818912,841244,863356
712,677453,700357,721607,741397,764487,775400,795831,818756,841288,862829
713,677283,700496,722567,741880,764475,775348,795825,818657,841039,862473
714,677628,700269,721605,742274,764719,775935,796107,819032,841220,862734
715,677735,700381,719510,742317,764924,775890,796193,818933,841079,863348
716,677684,700149,False,742026,764568,776001,796109,818964,840918,864303
717,677735,700094,722635,741434,764429,775819,796235,818898,841228,864742
718,677541,700168,721100,741057,764071,776077,795899,818825,841357,863807
719,677499,700091,718609,740998,False,776270,795870,818769,841405,862836
720,677587,700118,716579,741116,764397,776212,795829,818678,841308,862543
721,677330,700278,715963,False,764737,776129,795825,818740,841068,862658
722,677567,700282,716686,1483295,764813,775646,796039,818884,841227,863057
723,677618,700389,718672,16710,764657,775451,796279,818830,841129,864047
724,677676,700321,720535,741943,764744,775533,796324,818935,841038,864624
725,677712,700354,721907,741593,764343,775785,796292,818824,841122,864929
726,677449,700159,722249,741365,764097,776215,795973,818943,840974,865006
727,677604,699949,721402,740972,764027,776148,796097,818897,841123,864460
728,677629,700100,719765,741019,764111,775959,795899,818728,841343,863829
729,677498,700118,717814,741327,764549,775892,795732,818837,841592,862950
730,677681,700095,716587,741659,764810,775721,795891,818897,841791,862743
731,677620,700260,716930,742300,765202,775747,795815,818940,841409,863241
732,677659,700372,718045,742042,765233,775665,796141,818974,840988,863636
733,677756,700389,719946,741822,764726,775624,796175,818861,840648,864288
734,677809,700134,721370,741608,764370,775827,796216,819002,840506,864343
735,677662,699984,721393,741316,False,775860,False,818973,841122,863967
736,677462,699977,720770,741233,764702,775454,796124,818629,841738,863797
737,677260,699871,719454,741128,764781,775079,796144,818763,841999,863428
738,677488,700273,718120,741513,764547,774911,796174,818742,841905,863565
739,677499,700392,717559,741986,764389,775475,796088,818832,841281,863769
740,677795,700141,717387,742006,764465,776129,796334,818722,840893,863740
741,677755,700228,False,742051,764242,776964,796147,818623,840518,864060
742,677574,700012,721026,741814,764349,777640,796026,818984,840090,864160
743,677592,700221,721644,741380,764223,777309,796086,818887,840204,864235
744,677286,700340,720858,741378,764468,776570,795924,818820,840548,864122
745,677508,699932,719613,741201,764738,775285,796197,819015,841162,863768
746,677729,700163,718228,741501,764663,774384,796192,818843,841874,863833
747,677621,700129,717413,741834,764780,774123,796123,818896,842311,863753
748,677708,700058,717810,741873,764488,774214,796231,818690,842293,864011
749,677576,700300,718638,742120,764289,774828,796082,818588,841539,864168
750,677550,700086,719698,741866,764329,776033,796252,819027,840760,863948
751,677702,700291,720597,741498,764238,777120,796246,819058,840271,863511
752,677368,700308,720689,741284,764392,777971,796036,819172,840129,863097
753,677392,700196,720505,740995,764374,777771,796109,819158,840597,862808
754,677437,700193,719555,741547,764282,776931,795903,818822,841373,863476
755,677502,699927,False,741820,764653,775944,795834,818790,842009,864021
756,677495,699973,3014655,741929,764701,774730,796080,818657,842292,864518
757,677444,700134,718289,741932,764716,774320,796117,818746,842009,864727
758,677799,700183,718280,741651,764613,774282,796391,818797,841584,864454
759,677755,700459,719138,741598,764454,775120,796357,818698,840689,864112
760,677499,700275,719706,741517,764522,776315,796082,819008,840083,863509
761,677604,700186,720110,741556,764370,777042,796011,819046,840078,863496
762,677444,700136,720108,741664,764439,777346,795874,819089,840402,863399
763,False,700038,719469,741686,764471,776895,795990,819140,841219,863413
764,677733,700282,719052,741876,764443,775985,795750,818819,841868,863836
765,677555,700276,718776,741865,764735,775232,795657,818671,842227,863995
766,677399,700356,718986,741484,764765,774555,796165,818606,842164,864238
767,677641,700520,719578,741407,False,774551,796318,False,841431,864362
768,677575,700220,719905,741263,-1397569,775198,796298,818998,840648,864049
769,677651,False,720019,741344,764667,775962,796232,818787,839926,863593
770,677628,700308,719970,741809,764537,776866,795980,818901,840593,863094
771,677417,700086,719522,741861,764467,777243,795872,818890,False,862835
772,677609,700354,False,741970,764395,776792,795725,818862,842358,863321
773,677479,700260,-4293953,741745,764394,776036,795918,819096,841829,863591
774,677289,700266,718680,741544,764582,775245,796415,819114,841410,864142
775,677465,700235,718476,741622,764386,774945,796299,819148,840954,864443
776,677556,699999,719065,741487,764606,774933,796506,819186,840492,864189
777,677664,700103,719819,741421,764744,775254,796329,818883,840354,864045
778,677610,700120,720494,741519,764507,775970,796023,818882,840239,863634
779,False,700074,720391,741570,764676,776546,795914,818677,840935,863255
780,5420071,700186,719514,741771,764600,776918,795586,818730,841624,863368
781,677670,700019,718772,741834,764370,776830,795633,818893,841692,863353
782,677471,700392,718177,741927,764574,776250,795713,818944,841894,863732
783,677508,700426,718492,741814,764460,775845,796078,819331,841555,864273
784,677777,700151,719248,741558,764430,775190,796608,819110,840948,864226
785,677598,700234,719981,741334,764350,775040,796666,818949,840755,864031
786,677537,700133,720616,False,764370,775333,796394,818836,840458,863557
787,677343,700180,720054,741780,764662,775696,795932,818582,840757,863467
788,677401,700244,719366,741879,764651,776463,795513,818607,840977,863568
789,677506,700168,False,742109,764699,776635,795627,818704,841088,863661
790,677401,700332,704511,741929,764663,False,795887,818860,841500,863914
791,677820,700166,718212,741559,764424,775834,796060,819261,841558,863884
792,677737,700039,718352,741334,764471,775477,796480,819095,841917,863946
793,False,700112,718768,741033,764328,775289,796409,819099,841884,864002
794,677498,700036,719641,741306,764312,775262,796267,819009,841434,863760
795,677475,700234,720507,741667,764413,775697,796188,818808,841032,864043
796,677475,700093,720486,741984,764480,776036,796096,818939,840445,864237
797,677735,700019,719901,742415,764743,776455,795991,933646,840350,864136
798,677704,700160,718897,742191,764742,776631,795755,818978,840564,863762
799,677646,699919,717887,741753,764655,776108,795876,818923,841044,863384
800,677552,700091,717814,741453,764710,775971,796129,819124,841842,863425
801,677328,700128,718394,740965,764433,775251,796288,819148,841980,863663
802,677453,700263,719572,741006,764514,775155,795986,818902,841908,863865
803,677480,700177,720563,741182,764602,775260,796193,818766,841727,864174
804,677743,700067,721064,741667,764439,775626,False,818591,841148,863904
805,677796,700255,721074,742185,764521,776047,796033,818750,841066,863695
806,677474,700048,False,742249,764442,776003,796103,819093,840848,863449
807,677528,700173,-255233,742445,764485,776079,796124,819297,840498,863219
808,677524,700198,718544,742120,764624,776151,796422,819101,840551,863420
809,677541,700174,717653,741432,764542,775637,796253,819039,840546,863638
810,677588,700430,717469,741320,764729,775652,796115,818866,841199,864050
811,677340,700234,718324,740950,764792,775708,796052,818509,841762,864354
812,677728,700173,719813,741128,764817,775694,796043,818768,841823,864202
813,677857,700123,721196,741804,764835,776069,796433,818815,841923,864113
814,677593,699932,721633,741985,764468,776050,796435,818904,841599,863679
815,677819,700110,720760,742370,764246,776097,796347,818991,841203,False
816,677897,700187,719249,742285,764167,776151,796291,818857,840890,865306
817,677787,700402,718007,741883,False,775802,795997,819043,840417,865251
818,677446,700557,717216,741522,764757,775850,796186,819026,840781,864469
819,677252,700336,717761,740903,764573,775738,796204,818988,841233,863457
820,677294,700231,718845,740773,764367,775757,795860,818957,841543,862416
821,677371,699935,720264,741164,764549,775905,795942,818666,841829,862137
822,677738,699734,False,741554,764454,775886,795729,818787,841695,862541
823,677937,699975,717873,742273,764543,776032,795843,819103,841503,863469
824,677746,700094,719219,742398,764737,775911,796192,818985,841182,864811
825,677638,700187,720533,742350,764659,775660,796134,819060,840651,865378
826,677369,700450,721105,741868,764650,775633,796442,818919,840504,865261
827,677299,700295,720934,741396,764625,775569,796283,819145,840499,864663
828,677626,700285,719754,741233,764456,775724,795791,818840,841008,863574
829,677564,699988,718624,741050,764386,775902,795731,818979,841534,862662
830,677631,699946,718006,741345,764246,775898,795708,818869,841757,862230
831,677960,700054,717777,741837,764186,776014,796105,818924,842050,862579
832,677744,699980,False,742111,764347,775804,796298,819168,841664,863722
833,677715,700251,2873815,742357,764349,775636,796268,False,841028,864536
834,677603,700344,360506,742239,764659,775768,796320,819002,840880,865018
835,677401,700322,720349,741834,764559,775497,796097,818647,840880,865035
836,677272,700503,720908,741438,764401,775747,796066,818793,841039,864436
837,677126,700347,720596,False,764492,775704,795886,818811,841152,863646
838,677563,699951,719472,741721,764316,775941,795807,818929,841397,862848
839,677780,699757,718624,741420,764437,776140,795974,819199,841671,862442
840,677837,699993,717874,741273,764417,775954,796045,819019,841507,862849
841,677872,700236,717802,741242,764453,775837,796071,819078,841327,863441
842,677622,700165,718481,741619,764590,775569,796191,818800,841116,864236
843,677507,700287,719447,741709,764527,775507,False,818563,840894,864641
844,677353,700441,720580,741788,764599,775758,524287,818738,840975,864912
845,677248,700205,721090,741971,764546,775796,796158,818822,840892,False
846,677397,700071,720732,741767,764313,776044,795833,819043,841130,3458919
847,677605,699941,719801,741929,764318,776169,795657,819155,841531,432466
848,677841,699892,718369,741830,764314,776036,795882,819105,841574,863668
849,677837,700169,717631,741661,764320,776036,795805,819073,841674,863481
850,677592,700085,717797,741555,764532,775577,795962,818930,841361,863414
851,677589,700339,718670,741423,764490,775417,796279,818759,841046,863309
852,677286,700542,720008,741763,764543,775704,796479,818811,840865,863542
853,677332,700443,720771,741865,764478,775942,796425,819006,840591,863624
854,677520,700377,720772,741585,764528,776387,795939,-1,840923,863883
855,677285,699919,720264,741664,764675,False,795898,819063,841147,864119
856,677736,700133,719165,741385,764511,1552327,795917,818906,841222,864098
857,677893,700108,718251,741302,764528,16646,795943,818877,841643,864241
858,677601,False,717813,741541,764730,775936,796283,819001,841682,863789
859,677457,699904,717947,741707,764649,775755,796141,818961,841557,863477
860,677548,700066,False,742075,764797,775526,796031,819027,841314,863562
861,677498,699963,-5271905,742074,764516,775721,796145,818986,840758,863381
862,677644,700120,360090,741650,764337,775882,796126,818914,840811,863521
863,677544,700275,720611,741424,764220,775782,796253,818873,840832,863629
864,677326,700254,720451,741213,764179,775933,796017,818795,841005,863621
865,677601,700416,719952,741322,False,775849,795888,818959,841513,863909
