,3946.21 g,4145.83 g,4315.0 g,4511.98 g,4713.46 g,4813.52 g,4992.03 g,5193.54 g,5390.52 g,5589.85 g
98,677181,699970,719748,741609,764608,775934,796079,818736,841108,863782
99,677224,700322,719468,741742,764491,775892,796286,818381,840996,863792
100,677565,700430,718934,741880,764505,775907,796368,818648,840913,863636
101,678043,700234,718791,741989,764319,775656,796388,818996,841191,863708
102,678046,700265,719232,741794,764272,775932,796320,818971,841294,863870
103,678063,700111,719594,741736,764691,775901,796158,819224,841144,863961
104,677793,700128,719988,741581,764672,775846,796091,818945,841069,False
105,677217,700053,719841,741429,764659,False,795639,818904,841356,863707
106,677058,699779,719448,741491,764679,-901121,795554,818821,841300,863841
107,677029,700120,719291,741483,764489,775867,796142,818481,841205,863813
108,677264,700219,718897,False,764638,775881,796268,818571,841323,863867
109,677667,700212,719024,-4907649,764512,775864,796590,818749,841023,863719
110,677689,700223,719236,371558,764536,775600,796523,818864,841059,863555
111,677932,700045,719243,741918,764666,775846,796149,819018,841064,863773
112,677874,700141,719726,741705,764484,776040,795974,819043,841049,863656
113,677537,700090,719821,741740,764633,776058,795675,819133,841307,863972
114,677417,700007,719779,741502,764772,776096,795859,818992,841182,863948
115,677391,700099,719545,741606,764442,775765,795926,818853,841338,863902
116,677477,700025,719075,741689,False,775820,795981,818928,841245,863871
117,False,700159,719173,741679,764401,775992,796184,818641,841142,863675
118,-5938737,False,719004,741970,764504,775981,796214,818689,841252,863764
119,339440,700174,719110,742101,764414,776005,795777,818888,840975,863910
120,677809,700248,719376,741942,764558,775696,795635,819209,841070,863866
121,677893,700313,719641,742045,764656,775708,795717,819465,841368,863930
122,677602,700309,719903,741666,764655,775765,795362,819264,841411,863844
123,677589,700473,719709,741400,764602,775833,795658,818991,841447,863799
124,677550,700305,719331,741400,False,776083,796127,818650,841207,863680
125,677266,700099,719009,741405,764476,775978,796278,818313,841273,863555
126,677471,699928,718771,741729,764291,775952,796444,818526,841265,863843
127,677400,699944,719171,741888,764444,775670,796210,818661,False,863763
128,677484,700254,719536,741984,764521,775612,796050,818846,1682145,863877
129,677758,700128,719559,741909,764581,775919,795778,819165,16683,864071
130,677724,False,719698,741671,764470,775888,795529,819024,841097,863948
131,677823,700069,719691,741575,764423,775903,795718,819182,841293,864069
132,677727,699920,719715,741232,764649,776110,795891,819135,841248,863991
133,677486,700107,719482,741240,764609,776105,796253,818964,841398,863835
134,677484,700313,719153,741557,764566,776105,796518,818890,841256,863800
135,677324,700097,719217,741805,764628,775916,796395,818523,841281,863579
136,677319,700267,719198,742157,764497,775793,796189,818572,841208,863623
137,677584,700188,719274,742201,764549,False,795891,818770,840908,False
138,677797,700218,719623,742050,764457,776007,795634,818896,841143,863986
139,678004,700119,719736,741795,764383,775734,795631,819111,841141,863726
140,677694,699925,719752,741354,764578,775645,795623,819124,841375,863744
141,677553,700074,719474,741257,764562,775449,795851,819002,841487,863859
142,677512,700263,719019,741479,764460,775517,796314,819035,False,863582
143,677276,700401,719273,741525,764503,775867,796263,818747,841151,863515
144,677431,700476,719344,741985,764467,775948,796468,818881,840867,863613
145,677482,700277,719331,742030,764548,776104,796211,818713,841204,863986
146,677422,700262,False,741960,764513,776036,796010,818760,841262,864051
147,677808,700027,719531,741903,764486,775839,796075,819190,841422,863878
148,677777,699815,719586,741605,764574,775945,795781,819014,841591,863864
149,False,700168,719340,741629,764470,775684,795729,818985,841397,863622
150,677692,700146,719164,741393,764556,775708,795896,818970,841375,863530
151,677675,700244,718863,741358,764529,775783,795960,818906,841104,863787
152,677458,700336,719160,741626,764546,False,796302,818986,840943,863937
153,677528,700383,719398,741619,764557,-674241,796447,818761,840946,864083
154,677561,700428,719578,741980,764279,776209,796386,818939,840779,863381
155,677505,700199,719808,742031,764465,775978,796097,818980,841039,863550
156,677314,700045,719545,741681,764398,775953,795683,818822,841267,863875
157,677309,700124,719414,741662,764435,776012,795858,818883,841262,864009
158,677576,700040,719164,741349,764662,775657,795789,818917,841481,864102
159,677533,700273,719006,741262,764533,775694,796071,818996,841383,863928
160,677644,700210,719290,741551,764526,775681,796341,818889,841182,863820
161,677756,700326,719190,741795,False,775769,796176,818723,841032,863535
162,677415,700341,719428,742105,764512,776089,796240,818909,840904,863447
163,677421,700083,719404,741958,764242,775960,796002,818861,841054,863812
164,677246,699796,719260,741938,764281,776156,795896,818804,841133,863787
165,False,700038,719705,741913,764510,775994,796123,819127,841379,863821
166,677657,700107,719609,741539,764453,775758,796145,818857,False,863960
167,677535,700257,719293,741700,764665,775910,796223,818818,841386,863847
168,677287,700377,719181,741466,764560,775855,796081,818901,841332,864052
169,677520,700135,718944,741589,764574,False,796080,818905,841141,864015
170,677577,700257,719099,741697,764623,3103939,796253,818983,841312,863859
171,677559,700199,719299,741667,764396,388847,796044,818906,841167,863748
172,677804,700012,719382,741703,764572,775903,795971,818973,841301,863727
173,677602,699976,719492,741686,764585,775927,795985,819256,841356,863913
174,677663,699873,719413,741739,764353,776199,796043,819094,841316,863936
175,677544,700108,719410,741677,764770,775983,796140,819210,841348,863971
176,677293,700309,719382,741266,764676,775837,795951,818985,841148,863893
177,677417,700132,719219,741187,764594,775802,795963,818553,841052,863650
178,677386,700353,719153,741794,764694,775692,796074,818604,841006,863933
179,677630,700361,719055,742278,764409,775817,795892,818575,841132,863921
180,677688,700144,719401,742445,764365,775869,796068,818738,841378,863627
181,False,700082,719606,742049,764406,775893,795946,818945,841269,863796
182,5694975,699824,719596,741312,764417,775983,796039,819153,False,863733
183,677742,700029,719737,741134,764623,775798,796106,819129,841247,863794
184,677383,700136,719509,741291,764460,775972,795953,818916,841441,863932
185,677140,700320,719037,741901,764618,775850,796094,818961,841300,863789
186,677320,700584,719029,742041,764704,775587,False,818977,841323,863611
187,677469,700442,719064,741991,764535,775719,-2097153,818730,841230,863704
188,677704,700377,719102,742386,764587,775667,796062,818804,841103,863821
189,677614,700084,719415,742207,764397,775934,796140,818851,841261,863844
190,677615,699842,719551,741800,764471,776049,795730,818814,841174,863865
191,677675,700108,719809,740997,764571,775815,795554,818847,841228,863861
192,677652,700002,719611,740309,False,775826,795634,818985,841278,863886
193,677592,700208,719558,740702,3057859,775744,795639,819174,841193,863543
194,677415,700257,719376,741348,382945,775773,796213,819084,841303,863653
195,677249,700230,718979,742435,764669,775913,796550,818938,841251,863675
196,677485,700430,719046,743519,764670,775822,796365,819050,841319,863830
197,677598,700199,718905,743163,764512,775836,796204,818741,841274,864029
198,677772,700194,719141,742376,764413,775764,795763,818652,840974,863858
199,677856,700151,719737,741028,764272,775721,795856,818748,841090,863901
200,677685,False,719712,740076,764372,776213,795869,818866,841336,863778
201,677612,1399743,719850,739777,764280,776106,795857,819035,841370,863766
202,677231,16725,719592,740218,764348,775999,796056,818742,841303,863817
203,677176,700310,719145,741921,764616,776011,False,818757,841159,863592
204,677539,700296,719105,743282,764670,775850,796278,818949,841198,863636
205,677426,700185,718914,743978,764670,775886,795998,818891,841095,863492
206,677737,700406,719236,743887,764585,775812,795971,818916,840866,863466
207,677612,700121,719740,742297,764415,775971,795828,818840,841096,863778
208,677368,700036,719815,740734,764535,776053,795984,818803,841117,863766
209,677543,700015,720003,739432,764350,775854,796076,818995,841148,863863
210,677500,699807,719561,739209,764374,776104,796042,818875,841421,863858
211,677554,700272,719112,740406,764577,775838,796218,819044,841380,863862
212,677484,700374,719092,742134,764435,775651,796167,819098,841530,863993
213,677434,700456,718945,743962,764671,775869,796100,818946,841310,863885
214,677669,700509,719340,744530,764558,775700,796244,818899,841152,863810
215,677576,700139,719393,743603,764500,775952,795946,818736,841136,863881
