,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,14925,343118,-160421,410157,1583769971.3225055,1583769971.323018,1583769971.3234684,1583769971.3341346,14925,343118,-160421,410157
1,15133,343044,-160296,410240,1583769971.334607,1583769971.3350532,1583769971.3355024,1583769971.3462105,15133,343044,-160296,410240
2,15322,343114,-160339,410110,1583769971.3466775,1583769971.3471284,1583769971.3475828,1583769971.3582711,15322,343114,-160339,410110
3,15045,342962,-160439,410035,1583769971.358736,1583769971.3591833,1583769971.3596294,1583769971.3710608,15045,342962,-160439,410035
4,15093,342929,-160294,410336,1583769971.371676,1583769971.3721347,1583769971.372593,1583769971.373061,15093,342929,-160294,410336
5,15196,343084,-160526,410281,1583769971.394257,1583769971.394731,1583769971.3951929,1583769971.395668,15196,343084,-160526,410281
6,15299,343203,-160472,410286,1583769971.4065883,1583769971.4070828,1583769971.4075696,1583769971.4080632,15299,343203,-160472,410286
7,15032,343047,-160395,410281,1583769971.418912,1583769971.4193764,1583769971.4198341,1583769971.4306617,15032,343047,-160395,410281
8,15023,343005,-160468,410271,1583769971.4312868,1583769971.431752,1583769971.4322205,1583769971.432751,15023,343005,-160468,410271
9,14973,342744,-160303,410371,1583769971.4437313,1583769971.4442048,1583769971.4446628,1583769971.4451754,14973,342744,-160303,410371
10,15232,342923,-160464,410241,1583769971.445634,1583769971.456287,1583769971.4567416,1583769971.4572031,15232,342923,-160464,410241
11,15129,342996,-160420,410091,1583769971.4677775,1583769971.468224,1583769971.4686706,1583769971.4691272,15129,342996,-160420,410091
12,15008,342986,-160268,410069,1583769971.4797475,1583769971.480197,1583769971.480647,1583769971.4812253,15008,342986,-160268,410069
13,15075,342839,-160520,410241,1583769971.4915998,1583769971.4918664,1583769971.492092,1583769971.5024443,15075,342839,-160520,410241
14,15106,342946,-160418,410364,1583769971.502678,1583769971.5029008,1583769971.5031233,1583769971.513433,15106,342946,-160418,410364
15,15382,343107,-160402,410215,1583769971.5136602,1583769971.5138824,1583769971.5242307,1583769971.524464,15382,343107,-160402,410215
16,15208,343133,-160311,410241,1583769971.524692,1583769971.5249174,1583769971.5352228,1583769971.5354538,15208,343133,-160311,410241
17,15050,343072,-160397,410269,1583769971.5356855,1583769971.5359092,1583769971.546272,1583769971.5465095,15050,343072,-160397,410269
18,15176,343013,-160489,410163,1583769971.5467412,1583769971.5469656,1583769971.5574305,1583769971.5576627,15176,343013,-160489,410163
19,15289,343083,-160305,410388,1583769971.5578926,1583769971.558116,1583769971.568427,1583769971.5686572,15289,343083,-160305,410388
20,15269,343112,-160395,410378,1583769971.568885,1583769971.5691075,1583769971.5794508,1583769971.579685,15269,343112,-160395,410378
21,14901,343080,-160468,410299,1583769971.5899963,1583769971.5902207,1583769971.5904467,1583769971.590674,14901,343080,-160468,410299
