,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,-4197,10626,-6994,-10961,1584467340.6548414,1584467340.6553428,1584467340.65579,1584467340.6562438,-4197,10626,-6994,-10961
1,-4779,10581,-7455,-11112,1584467340.6567032,1584467340.667283,1584467340.6677275,1584467340.6681788,-4779,10581,-7455,-11112
2,-4275,10439,-6669,-11221,1584467340.6686354,1584467340.6791902,1584467340.6796346,1584467340.6800854,-4275,10439,-6669,-11221
3,-4781,10898,-7182,-11230,1584467340.6805427,1584467340.6910982,1584467340.6915407,1584467340.691992,-4781,10898,-7182,-11230
4,-4863,10451,-6928,-11197,1584467340.6924498,1584467340.703013,1584467340.7034616,1584467340.703915,-4863,10451,-6928,-11197
5,-4521,10610,-6696,-11259,1584467340.7044733,1584467340.7150304,1584467340.7154744,1584467340.7159262,-4521,10610,-6696,-11259
6,-5057,10628,-7359,-11193,1584467340.7163837,1584467340.7269394,1584467340.7273853,1584467340.7278366,-5057,10628,-7359,-11193
7,-4381,10521,-6510,-10975,1584467340.7282956,1584467340.7388535,1584467340.7392964,1584467340.7397482,-4381,10521,-6510,-10975
8,-4740,10873,-7042,-11101,1584467340.7402081,1584467340.7507677,1584467340.7512157,1584467340.751668,-4740,10873,-7042,-11101
9,-4220,10551,-6451,-11213,1584467340.7521284,1584467340.762683,1584467340.7631273,1584467340.763581,-4220,10551,-6451,-11213
10,-4383,10655,-6168,-11014,1584467340.76404,1584467340.7746627,1584467340.7751093,1584467340.775562,-4383,10655,-6168,-11014
11,-4500,10693,-7030,-10997,1584467340.7760205,1584467340.7764723,1584467340.78702,1584467340.7874725,-4500,10693,-7030,-10997
12,-4095,10381,-6284,-10942,1584467340.7879307,1584467340.7883828,1584467340.7989604,1584467340.799415,-4095,10381,-6284,-10942
13,-4609,10680,-6863,-10882,1584467340.7998745,1584467340.8003283,1584467340.8108797,1584467340.8113325,-4609,10680,-6863,-10882
14,-3953,10521,-6492,-10728,1584467340.821896,1584467340.8223493,1584467340.822793,1584467340.8232427,-3953,10521,-6492,-10728
15,-4280,10815,-5896,-10748,1584467340.833804,1584467340.834323,1584467340.834769,1584467340.8352199,-4280,10815,-5896,-10748
16,-3685,10791,-5881,-10730,1584467340.8457816,1584467340.8563428,1584467340.8567913,1584467340.8572462,-3685,10791,-5881,-10730
17,-3921,10858,-6159,-10621,1584467340.857706,1584467340.8581583,1584467340.8586018,1584467340.8691554,-3921,10858,-6159,-10621
