,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,14405,340388,-160671,412953,1583839107.9767113,1583839107.976977,1583839107.9772086,1583839107.9774475,14405,340388,-160671,412953
1,14529,340511,-160561,413112,1583839107.9776802,1583839107.9880683,1583839107.9883041,1583839107.9885426,14529,340511,-160561,413112
2,14382,340329,-160682,413045,1583839107.9887784,1583839107.9990864,1583839107.9993124,1583839107.9995449,14382,340329,-160682,413045
3,14462,340367,-160723,412989,1583839107.9997792,1583839108.0101705,1583839108.0205972,1583839108.0208442,14462,340367,-160723,412989
4,14352,340551,-160670,412943,1583839108.0210814,1583839108.0213127,1583839108.031638,1583839108.0318744,14352,340551,-160670,412943
5,14409,340364,-160719,412830,1583839108.032113,1583839108.032337,1583839108.0427532,1583839108.0531602,14409,340364,-160719,412830
6,14522,340411,-160715,412955,1583839108.053404,1583839108.053629,1583839108.0538566,1583839108.064173,14522,340411,-160715,412955
7,14357,340449,-160554,413122,1583839108.0644066,1583839108.0646331,1583839108.0648594,1583839108.075231,14357,340449,-160554,413122
8,14193,340418,-160713,413236,1583839108.0754662,1583839108.075694,1583839108.0759265,1583839108.0863135,14193,340418,-160713,413236
9,14374,340482,-160775,413083,1583839108.0865571,1583839108.0968668,1583839108.0970979,1583839108.097328,14374,340482,-160775,413083
10,14407,340598,-160772,413087,1583839108.097557,1583839108.1079075,1583839108.1081367,1583839108.1083767,14407,340598,-160772,413087
11,14504,340466,-160814,412949,1583839108.1086109,1583839108.1189172,1583839108.1191428,1583839108.1193721,14504,340466,-160814,412949
12,14374,340412,-160809,413061,1583839108.129685,1583839108.1299136,1583839108.1402712,1583839108.1405034,14374,340412,-160809,413061
13,14519,340639,-160769,412984,1583839108.1407328,1583839108.1409574,1583839108.151259,1583839108.1615646,14519,340639,-160769,412984
14,14314,340512,-160755,412993,1583839108.161799,1583839108.1620255,1583839108.1622517,1583839108.1725605,14314,340512,-160755,412993
15,14309,340586,-160779,413025,1583839108.172791,1583839108.173013,1583839108.1732388,1583839108.1835463,14309,340586,-160779,413025
16,14348,340497,-160812,412959,1583839108.1837783,1583839108.1840053,1583839108.1842318,1583839108.194542,14348,340497,-160812,412959
17,14355,340522,-160799,413052,1583839108.1947784,1583839108.1950045,1583839108.1952279,1583839108.205533,14355,340522,-160799,413052
18,14352,340390,-160749,413008,1583839108.2158453,1583839108.2160692,1583839108.2162926,1583839108.2165232,14352,340390,-160749,413008
19,14493,340522,-160911,413052,1583839108.2268393,1583839108.2371457,1583839108.2373717,1583839108.237601,14493,340522,-160911,413052
20,14400,340612,-160870,413005,1583839108.2378285,1583839108.2481313,1583839108.2483606,1583839108.2485924,14400,340612,-160870,413005
21,14605,340656,-160688,413035,1583839108.2488215,1583839108.259127,1583839108.2593534,1583839108.2696655,14605,340656,-160688,413035
22,14494,340482,-160498,412879,1583839108.2698953,1583839108.2701182,1583839108.2703831,1583839108.280691,14494,340482,-160498,412879
23,14388,340592,-160695,413084,1583839108.2809246,1583839108.2811484,1583839108.2813728,1583839108.2916791,14388,340592,-160695,413084
24,14359,340569,-160798,413034,1583839108.301987,1583839108.302212,1583839108.3024354,1583839108.3026655,14359,340569,-160798,413034
25,14463,340423,-160692,412972,1583839108.3129716,1583839108.3131988,1583839108.3134258,1583839108.313656,14463,340423,-160692,412972
26,14362,340444,-160602,413157,1583839108.3239636,1583839108.3241856,1583839108.3244095,1583839108.3246448,14362,340444,-160602,413157
27,14522,340565,-160774,413174,1583839108.3349538,1583839108.3351765,1583839108.3354018,1583839108.3356314,14522,340565,-160774,413174
28,14482,340607,-160661,413119,1583839108.3459394,1583839108.3461628,1583839108.356578,1583839108.356833,14482,340607,-160661,413119
29,14419,340470,-160721,413082,1583839108.357075,1583839108.3573034,1583839108.3677437,1583839108.3781888,14419,340470,-160721,413082
30,14595,340574,-160692,413125,1583839108.3784366,1583839108.378666,1583839108.378898,1583839108.3892164,14595,340574,-160692,413125
31,14466,340604,-160761,412960,1583839108.3995306,1583839108.399758,1583839108.399983,1583839108.400269,14466,340604,-160761,412960
32,14461,340684,-160764,412952,1583839108.4105802,1583839108.4108078,1583839108.4110377,1583839108.4112692,14461,340684,-160764,412952
33,14383,340437,-160861,413026,1583839108.4215784,1583839108.4218006,1583839108.4220257,1583839108.4222555,14383,340437,-160861,413026
34,14252,340430,-160754,412992,1583839108.432562,1583839108.4327857,1583839108.4330106,1583839108.4332414,14252,340430,-160754,412992
35,14293,340497,-160640,413054,1583839108.443549,1583839108.4437804,1583839108.4440067,1583839108.4442391,14293,340497,-160640,413054
