,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,16845,354609,-176083,416793,1583504153.3031888,1583504153.3037195,1583504153.3042574,1583504153.3048005,16845,354609,-176083,416793
1,16850,354619,-176046,416898,1583504153.3053136,1583504153.3160546,1583504153.3165245,1583504153.317001,16850,354619,-176046,416898
2,16835,354631,-176211,416923,1583504153.3174746,1583504153.328229,1583504153.3301554,1583504153.3306386,16835,354631,-176211,416923
3,16918,354959,-176228,416983,1583504153.3311093,1583504153.3427963,1583504153.3433044,1583504153.3437796,16918,354959,-176228,416983
4,17018,354863,-176139,416920,1583504153.344434,1583504153.3553197,1583504153.3558333,1583504153.35635,17018,354863,-176139,416920
5,16870,354752,-176167,416878,1583504153.3568459,1583504153.3676522,1583504153.368244,1583504153.3687325,16870,354752,-176167,416878
6,16805,354698,-176355,416837,1583504153.3693135,1583504153.3801985,1583504153.380687,1583504153.381168,16805,354698,-176355,416837
7,16783,354583,-176407,416886,1583504153.381641,1583504153.3927712,1583504153.393253,1583504153.3937242,16783,354583,-176407,416886
8,16946,354684,-176405,416876,1583504153.3941865,1583504153.4050286,1583504153.405498,1583504153.4059706,16946,354684,-176405,416876
9,16747,354651,-176217,416788,1583504153.4064305,1583504153.4068782,1583504153.4073286,1583504153.4180405,16747,354651,-176217,416788
10,16823,354823,-176294,416938,1583504153.4185078,1583504153.4189572,1583504153.4194112,1583504153.4299812,16823,354823,-176294,416938
11,16911,354791,-176163,417004,1583504153.430452,1583504153.4309301,1583504153.4313934,1583504153.4420633,16911,354791,-176163,417004
12,16843,354636,-176369,417021,1583504153.4425256,1583504153.4429736,1583504153.4434278,1583504153.4541357,16843,354636,-176369,417021
13,16811,354676,-176410,416984,1583504153.4547212,1583504153.45518,1583504153.4556344,1583504153.4663336,16811,354676,-176410,416984
14,16647,354570,-176255,417027,1583504153.4667985,1583504153.4672492,1583504153.467699,1583504153.4783316,16647,354570,-176255,417027
15,16843,354603,-176095,416963,1583504153.4788067,1583504153.4792721,1583504153.4797335,1583504153.4903305,16843,354603,-176095,416963
16,16970,354771,-176112,416792,1583504153.4907863,1583504153.491245,1583504153.4917,1583504153.5024107,16970,354771,-176112,416792
17,17001,354637,-176198,416680,1583504153.502883,1583504153.503337,1583504153.5037866,1583504153.51459,17001,354637,-176198,416680
18,16925,354455,-176052,416718,1583504153.5150547,1583504153.5155056,1583504153.515958,1583504153.5265713,16925,354455,-176052,416718
19,16955,354470,-176127,416834,1583504153.5270538,1583504153.5275197,1583504153.5279872,1583504153.5385993,16955,354470,-176127,416834
20,17139,354401,-176224,416783,1583504153.5390697,1583504153.5395198,1583504153.5399697,1583504153.5506096,17139,354401,-176224,416783
21,17054,354433,-176077,416748,1583504153.5510693,1583504153.5515203,1583504153.5519762,1583504153.5626237,17054,354433,-176077,416748
22,17020,354430,-176065,416620,1583504153.5630877,1583504153.5635357,1583504153.5639856,1583504153.5747156,17020,354430,-176065,416620
