,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,151905,145883,-8615,313691,1584978698.2050164,1584978698.2055206,1584978698.2059586,1584978698.2064958,151905,145883,-8615,313691
1,151727,145799,-8678,313521,1584978698.2069454,1584978698.2176514,1584978698.2181063,1584978698.2185588,151727,145799,-8678,313521
2,151642,146206,-9051,313446,1584978698.2190137,1584978698.2296805,1584978698.2301247,1584978698.2305734,151642,146206,-9051,313446
3,151860,146367,-8996,313542,1584978698.231023,1584978698.2416325,1584978698.2420685,1584978698.242511,151860,146367,-8996,313542
4,151798,146196,-8916,313558,1584978698.2429616,1584978698.2537868,1584978698.2542748,1584978698.2547555,151798,146196,-8916,313558
5,1048575,146031,-8883,313564,1584978698.2552497,1584978698.2681093,1584978698.2686064,1584978698.269095,1048575,146031,-8883,313564
6,152009,146128,-8776,313778,1584978698.2695699,1584978698.3308122,1584978698.331257,1584978698.3317022,152009,146128,-8776,313778
7,152003,146180,-8951,313639,1584978698.332151,1584978698.4579952,1584978698.4584517,1584978698.4589005,152003,146180,-8951,313639
8,151844,146050,-8803,313708,1584978698.459351,1584978698.469961,1584978698.470408,1584978698.47086,151844,146050,-8803,313708
9,152011,145969,-8740,313872,1584978698.47131,1584978698.4818816,1584978698.4823177,1584978698.482764,152011,145969,-8740,313872
10,152165,146004,-8832,313762,1584978698.4832082,1584978698.4939604,1584978698.494402,1584978698.4948533,152165,146004,-8832,313762
11,151843,146245,-8862,313724,1584978698.495301,1584978698.5059326,1584978698.50653,1584978698.5069826,151843,146245,-8862,313724
12,151889,146134,-8727,313838,1584978698.5074356,1584978698.517987,1584978698.518428,1584978698.518873,151889,146134,-8727,313838
13,151905,146066,-8871,313765,1584978698.5193198,1584978698.5299466,1584978698.5303907,1584978698.5308366,151905,146066,-8871,313765
14,151913,146267,-8827,313724,1584978698.5312839,1584978698.5418382,1584978698.5422742,1584978698.542718,151913,146267,-8827,313724
15,152049,146309,-8749,313499,1584978698.5431685,1584978698.5537825,1584978698.554227,1584978698.5546749,152049,146309,-8749,313499
16,152018,146431,-8727,313604,1584978698.5551236,1584978698.5657303,1584978698.5662825,1584978698.5667343,152018,146431,-8727,313604
17,151936,146236,-8741,313653,1584978698.567185,1584978698.5777345,1584978698.629711,1584978698.630224,151936,146236,-8741,313653
18,151992,146112,-8836,313593,1584978698.6307285,1584978698.6311803,1584978698.6418478,1584978698.6423173,151992,146112,-8836,313593
19,151934,146053,-8967,313651,1584978698.6427877,1584978698.6432757,1584978698.6538932,1584978698.6543922,151934,146053,-8967,313651
20,151722,146144,-8989,313643,1584978698.6548784,1584978698.6553571,1584978698.666241,1584978698.6667469,151722,146144,-8989,313643
