,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,77257,358466,-35587,926994,1583766355.7612977,1583766355.7615757,1583766355.7618024,1583766355.7621405,77257,358466,-35587,926994
1,77393,358918,-37684,919293,1583766355.7623713,1583766355.7726862,1583766355.7729087,1583766355.7731333,77393,358918,-37684,919293
2,79704,359203,-39254,918284,1583766355.773362,1583766355.7839563,1583766355.784402,1583766355.7848554,79704,359203,-39254,918284
3,80994,359293,-41713,920632,1583766355.7853088,1583766355.7958581,1583766355.796301,1583766355.7967496,80994,359293,-41713,920632
4,81826,358583,-44036,919720,1583766355.7971997,1583766355.807769,1583766355.8082185,1583766355.8086724,81826,358583,-44036,919720
5,83178,358525,-45022,919716,1583766355.8091252,1583766355.819674,1583766355.82012,1583766355.8205729,83178,358525,-45022,919716
6,83193,358172,-45641,917002,1583766355.821024,1583766355.8315816,1583766355.8321211,1583766355.8325746,83193,358172,-45641,917002
7,83215,358818,-46481,911341,1583766355.8330264,1583766355.8435943,1583766355.8440382,1583766355.8444903,83215,358818,-46481,911341
8,82350,359559,-48553,901710,1583766355.844939,1583766355.8554904,1583766355.8559403,1583766355.8563921,82350,359559,-48553,901710
9,81540,360125,-50503,892039,1583766355.8568444,1583766355.8674026,1583766355.8678443,1583766355.868294,81540,360125,-50503,892039
10,81646,361139,-51904,886384,1583766355.868743,1583766355.8792999,1583766355.8797424,1583766355.880193,81646,361139,-51904,886384
11,80839,361195,-53582,881077,1583766355.8806407,1583766355.8912032,1583766355.8916469,1583766355.892204,80839,361195,-53582,881077
12,79999,361460,-55580,875551,1583766355.892656,1583766355.9032228,1583766355.9036672,1583766355.904116,79999,361460,-55580,875551
13,79311,361326,-56645,874156,1583766355.9045694,1583766355.9151175,1583766355.9155614,1583766355.91601,79311,361326,-56645,874156
14,79787,360659,-56702,878555,1583766355.91646,1583766355.9270337,1583766355.9274793,1583766355.9279335,79787,360659,-56702,878555
15,80389,360400,-57024,879280,1583766355.9283838,1583766355.9389296,1583766355.9393718,1583766355.9398232,80389,360400,-57024,879280
16,79547,360087,-57531,875068,1583766355.940273,1583766355.9508471,1583766355.9512959,1583766355.9517505,79547,360087,-57531,875068
17,79627,360201,-57479,873608,1583766355.9523396,1583766355.9628916,1583766355.9633398,1583766355.9637983,79627,360201,-57479,873608
18,80232,360006,-56813,875175,1583766355.964251,1583766355.9748545,1583766355.9753025,1583766355.9757602,80232,360006,-56813,875175
19,80886,359746,-56187,877068,1583766355.9762158,1583766355.98679,1583766355.9872355,1583766355.9876885,80886,359746,-56187,877068
20,81458,359728,-56506,876548,1583766355.9881415,1583766355.9986935,1583766355.9991395,1583766355.9995909,81458,359728,-56506,876548
21,81114,359023,-54066,879694,1583766356.0000436,1583766356.0106113,1583766356.0110579,1583766356.011512,81114,359023,-54066,879694
22,81805,358086,-13487,895705,1583766356.0120513,1583766356.022606,1583766356.023052,1583766356.023502,81805,358086,-13487,895705
23,77269,352494,46562,924059,1583766356.0239527,1583766356.0345275,1583766356.0349767,1583766356.0354185,77269,352494,46562,924059
24,73344,350824,11314,906794,1583766356.0358698,1583766356.046444,1583766356.0468907,1583766356.0473342,73344,350824,11314,906794
25,75739,353891,-10645,888427,1583766356.0477865,1583766356.0583405,1583766356.0587924,1583766356.0592477,75739,353891,-10645,888427
26,75749,353795,17338,894373,1583766356.0597038,1583766356.0601473,1583766356.0707138,1583766356.071157,75749,353795,17338,894373
27,73119,351234,54028,900130,1583766356.07161,1583766356.0721455,1583766356.082716,1583766356.0831594,73119,351234,54028,900130
28,49939,346534,168167,871069,1583766356.0836136,1583766356.1345909,1583766356.1350405,1583766356.135484,49939,346534,168167,871069
29,44630,345469,188495,858193,1583766356.135935,1583766356.146484,1583766356.1469283,1583766356.1473722,44630,345469,188495,858193
30,39803,344079,210693,846261,1583766356.1478233,1583766356.1583962,1583766356.1588442,1583766356.1592872,39803,344079,210693,846261
31,33043,341931,233565,832563,1583766356.1597369,1583766356.1703014,1583766356.1707463,1583766356.1711912,33043,341931,233565,832563
32,25610,338920,254470,818785,1583766356.1716416,1583766356.1823053,1583766356.182753,1583766356.1831987,25610,338920,254470,818785
33,18869,335876,273705,803462,1583766356.1836486,1583766356.194211,1583766356.1946568,1583766356.1951022,18869,335876,273705,803462
34,11373,332401,291799,786495,1583766356.195556,1583766356.2061007,1583766356.2065465,1583766356.2069888,11373,332401,291799,786495
35,5454,329246,313777,769451,1583766356.2074406,1583766356.2180147,1583766356.2184649,1583766356.2189147,5454,329246,313777,769451
36,-341,325187,332516,745285,1583766356.21937,1583766356.2299445,1583766356.2303972,1583766356.230843,-341,325187,332516,745285
37,-6431,320278,343231,718248,1583766356.2312934,1583766356.2418578,1583766356.2423985,1583766356.242843,-6431,320278,343231,718248
38,-9363,317945,351573,692746,1583766356.243293,1583766356.25387,1583766356.2543135,1583766356.2547576,-9363,317945,351573,692746
39,-13132,314978,364221,668906,1583766356.255211,1583766356.265768,1583766356.2662125,1583766356.266654,-13132,314978,364221,668906
40,-17358,311427,377306,652325,1583766356.2772245,1583766356.2776723,1583766356.278118,1583766356.2785673,-17358,311427,377306,652325
41,-18621,310269,389116,642945,1583766356.2891514,1583766356.2896008,1583766356.290045,1583766356.290486,-18621,310269,389116,642945
42,-20923,307767,373488,630422,1583766356.3010652,1583766356.3015172,1583766356.4266207,1583766356.42708,-20923,307767,373488,630422
43,-22176,306070,376634,630861,1583766356.4275367,1583766356.427994,1583766356.4385874,1583766356.4390366,-22176,306070,376634,630861
44,-22008,306356,380325,631487,1583766356.4394934,1583766356.439949,1583766356.450505,1583766356.450954,-22008,306356,380325,631487
45,-21914,306095,380656,632690,1583766356.4514072,1583766356.4518585,1583766356.4624386,1583766356.4628856,-21914,306095,380656,632690
46,-22191,306049,380421,635801,1583766356.4633377,1583766356.4637964,1583766356.4743488,1583766356.4748023,-22191,306049,380421,635801
