,0.0 g,72.65 g,272.25 g,471.56 g,673.02 g,872.42 g,1148.61 g,1345.57 g,1544.88 g,1744.3 g,1943.91 g,2073.13 g,2272.74 g,2472.04 g,2671.46 g,2868.42 g,3149.09 g,3345.72 g,3545.14 g,3716.65 g,3913.6 g,4113.02 g,4312.33 g,4513.81 g,4792.61 g,4992.03 g,5193.52 g,5392.82 g,5589.76 g,5789.34 g,5889.38 g,172.7 g,118.07 g
0,112744,121014,144024,166609,189617,212188,243803,266474,288961,311792,335206,False,372720,403556,417832,440220,472040,494673,517468,536675,559412,582586,605128,627856,659893,682668,705359,728094,750397,773863,784752,False,126309
1,112894,121046,144135,166831,189670,212056,243337,266316,289056,311866,335269,349923,372462,401745,417549,440428,472172,495041,517584,537038,559451,582520,604913,628421,659666,682170,705734,728728,750281,773394,784886,4245311,False
2,112455,120947,143732,166494,189571,211931,243603,266190,289537,311752,334484,349671,372208,396361,417756,440046,472156,494864,517504,537284,559744,582455,604781,628445,660098,682514,705733,728804,750091,773282,784675,132653,4035615
3,112720,121026,143740,166639,189523,212432,244139,266200,289224,311800,334339,349690,False,False,417750,440028,472473,494880,517611,537530,559469,582028,605011,628189,660060,682492,705821,729012,750663,773480,785202,132287,126255
4,112573,121286,143712,166536,189361,212352,244115,266482,289069,312200,334092,349283,371914,403492,417526,440201,472086,494548,517004,537180,559389,581925,605132,628100,659930,682450,705507,728908,751156,773382,785383,132627,126156
5,112693,121020,143920,166454,False,212430,244180,266338,289036,311949,334319,349204,371835,402053,417853,439791,471987,494360,False,537009,559360,581632,605300,627606,659677,682763,705287,728218,751214,773836,785403,132454,126140
6,112870,121097,143965,166739,-1767169,212381,243666,266567,288989,312065,335003,349112,372239,397643,417644,440094,472018,494432,517676,537093,559478,581939,605489,627915,659425,682674,705190,728078,751550,773853,785535,132454,126430
7,112777,120990,143568,166644,189741,212024,243598,266361,289313,311813,334923,348886,372399,391594,417690,440233,471868,494475,517290,536623,559510,582189,605076,628094,659474,682927,705152,727771,751232,773859,785131,132533,126061
8,113007,False,143915,166670,189505,212404,243683,266263,289060,311622,334883,349325,372128,387306,417570,440408,471988,494926,517455,536760,559383,582380,604609,627902,659425,682757,705526,728067,750852,773905,784925,132378,126296
9,112683,242213,143798,166443,189682,212351,243646,266378,289101,312110,334467,349426,372002,386231,417428,440561,471986,494726,517094,536892,559651,582873,604589,628217,659910,682694,705404,728204,750277,773317,784837,132690,126337
10,112573,17397,143856,166513,189459,212480,244083,266116,289028,312111,333997,349587,371697,389223,False,440230,472307,494662,517050,537083,False,582740,604510,627919,660137,682540,705556,728145,749918,773435,784670,False,126120
11,112879,121241,143844,False,189827,212289,243848,266555,288881,312273,334293,349901,371972,395260,417957,440138,472407,494935,517476,537365,559341,582557,604883,627945,659928,682210,705762,728626,750348,773249,785038,-1,126393
12,112775,False,143610,2966527,189777,212534,243600,266627,289025,312117,334652,349646,372335,400386,417801,439872,472435,494528,517524,537071,559457,581872,605206,627973,660004,682420,705631,728697,False,773204,784965,132394,126197
13,112901,120998,143817,166457,189461,212464,243709,266497,288909,311597,False,349411,372249,402841,417812,439999,472527,494661,517464,537362,559640,581492,605659,627836,659588,682476,705750,728626,-1,773689,785372,False,126369
14,False,121164,143721,166865,189711,212800,243815,266626,289159,311963,335917,349028,372287,401720,417369,439736,472107,494587,517317,537349,559552,581766,605906,False,659481,682631,705328,728416,751202,773644,785487,5685247,126427
15,451099,121339,143748,166656,189355,212609,244082,False,289288,311858,334824,348924,372035,397372,417341,439498,471964,494531,517410,537005,559524,581893,605389,628075,659445,682966,705268,728142,751292,773782,785288,132325,126139
16,57072,121179,143902,166482,189489,212151,243853,266075,289319,312113,333928,349055,371906,392415,417619,440294,472042,494753,517274,536972,559498,582331,604875,628284,659442,682873,705325,728353,751184,773677,785365,132672,126253
17,112719,121290,143640,166615,189771,212476,243648,266273,289237,312254,333909,349435,372051,388354,417571,440887,471892,494479,517141,536544,559462,582536,604144,628233,659755,682908,705330,728173,751270,773565,784783,132383,126114
18,112731,121125,143846,166545,189649,212322,243768,266613,288944,311929,334158,349835,372101,387691,417779,441068,472079,494702,517612,536757,559521,582421,604086,628427,659662,682667,705728,728279,750756,773632,784699,132360,126209
19,112534,121338,143758,166881,189941,212469,False,266719,289106,311855,334927,349619,372514,False,417602,440513,472107,494719,517711,536937,559361,582479,604625,628097,660077,682394,705644,728445,750406,False,False,132654,126361
20,112832,121274,143649,166778,189624,212634,243971,266497,289312,311658,335272,349779,372436,-4298273,417686,439504,472489,494860,False,537043,559579,582180,605134,628273,660208,682196,705957,728451,749968,773488,785290,132500,126213
21,112709,121187,143695,166692,189483,212517,244160,266267,289185,311892,334919,349639,372340,394384,417778,439603,472404,495073,517515,537461,559550,582048,605617,627925,660053,681917,705896,728625,749975,773549,785064,132553,126513
22,112699,121405,143649,166696,189585,False,243731,266363,289354,312085,334276,349350,372016,399219,417540,439878,471969,494489,517394,537033,559617,581646,605587,627655,660149,682393,705390,728221,750686,773707,785136,132316,126118
23,112718,121093,143988,166423,189533,212278,243393,266132,289161,311646,333922,349522,371669,401513,417558,440410,471941,494483,517773,536916,559566,581591,605331,627812,659727,682493,705513,728193,751059,773536,784806,132490,126042
24,112549,121086,143836,166605,189726,212485,243361,266351,289173,311957,334557,349510,371943,400985,417332,440414,471999,494308,517403,536776,559256,582162,False,627480,659680,682545,705286,728141,751521,773768,784942,132473,126075
25,112798,121198,143734,166480,189249,212388,243607,266471,289196,311737,335071,349431,372087,397642,417727,439994,472255,494427,517217,536621,559461,582436,605414,628133,659414,682788,705201,728129,751328,773626,784906,132132,126053
26,112748,121037,143842,166582,189301,212570,244332,266240,289337,311659,335117,349254,372403,392959,False,440253,472625,False,517258,537065,559485,582901,605589,628266,659315,682684,705479,728457,750933,773519,784984,132369,126448
27,112930,121268,143760,166760,189539,212045,244109,266614,289556,311936,334896,348896,372306,389697,417456,440329,472645,494740,516976,536854,559524,582789,605467,628371,660067,682749,705600,728236,750818,773673,785356,132304,126143
28,112936,121164,143977,166392,189396,212224,243704,266043,289002,311787,334293,349093,372020,388704,417737,440409,472733,494831,517432,536950,559586,582276,604871,628494,660007,682436,705801,728363,750485,773466,785339,132456,126153
29,112802,121089,143760,166565,189655,212581,243456,265926,288839,311890,334805,349250,372292,390795,417613,440536,472273,494826,517314,537156,559235,582222,604777,627646,660229,682382,705732,728602,750502,773705,785588,132614,126267
30,False,121058,143870,166603,189668,212638,243549,266383,288859,311662,334700,349441,372078,394610,417661,439903,471838,494609,517469,537067,559500,581815,604640,627319,660248,682271,705544,728354,750400,773623,785290,132476,126102
31,112773,121029,143882,166434,189662,212663,243951,266412,288926,311718,334704,349855,372007,398329,417786,439723,471797,494819,517650,537218,559428,581739,604773,627288,659834,682082,705387,728622,750562,773514,785047,132516,126375
32,112844,121300,143679,166593,189742,212332,244030,266653,289175,311769,334816,349682,372050,400650,417716,439536,471908,494766,517493,536967,559585,582005,604957,627980,659745,682568,705134,728207,750949,773765,784898,132272,126024
33,112694,121000,143961,166433,189378,212297,243924,266500,288992,311510,334646,349598,371942,399917,418043,439800,472507,494918,517695,537081,559845,582140,605007,628814,659168,682640,705245,727984,750815,773534,784547,132363,126198
34,112911,121178,143859,166735,189581,212123,243822,266256,289146,312128,334710,349132,372166,396904,417783,False,472590,494839,517414,536771,559544,582419,605384,628356,659198,682893,705120,728099,751150,773721,785032,132394,126291
35,112615,121286,143814,166749,189470,212182,False,266198,289171,312204,334530,348836,372201,393239,417692,440750,472646,494596,False,536408,559658,582198,605339,627861,659432,682978,705390,727939,751055,773613,785228,132322,126154
36,112695,121051,143836,166626,189412,212680,3894271,266164,289033,311836,334601,348937,372155,390125,417620,440062,472553,494730,517528,536826,559183,582471,605213,627395,659969,682503,706045,728369,750714,False,785274,132551,126405
37,112792,121292,143724,166710,189610,212514,122464,266482,289092,311988,334930,349141,False,389808,417327,439599,472131,494516,517178,536732,558972,582281,605223,627093,660465,682625,705960,728379,750743,773511,785579,132283,126109
38,112683,120886,143750,166437,189439,False,243605,266479,288894,311785,334410,350023,372062,391595,417480,439776,471997,494534,517389,537210,559381,581991,604782,628014,660229,682449,705979,728526,750512,773692,785225,132470,126232
39,112801,121013,143953,166708,189820,212102,243312,266309,289229,312113,334502,350023,371735,395062,False,440042,471583,494762,517325,537309,559586,582048,604774,628455,660215,682398,705634,728598,750725,773522,785121,132572,126384
40,112638,121248,143983,166491,189512,212413,243889,266123,289479,312024,334419,349779,371695,398289,418096,440363,471756,494709,517384,537015,559892,581514,False,628550,659929,682620,705614,727896,750999,773348,784651,132393,126264
41,112752,121041,144110,166367,189256,212283,244050,265958,289043,311959,334548,349574,372067,399691,417985,440491,472328,494727,517644,537126,559758,581803,605004,627948,659410,682539,705429,727891,750984,773724,784537,132627,126487
42,112840,121245,143754,166704,189684,212305,243701,266409,289149,312102,334818,348973,372076,399109,418071,440368,472358,494511,517428,536749,559517,582510,604768,627482,659333,682859,False,727663,751187,773705,784842,132455,126433
43,112689,121095,143962,166439,189682,212300,243845,266626,288946,311758,334640,348931,372334,396075,417763,440566,472552,494800,517566,536569,False,582467,604929,627703,659158,683032,705665,727812,750792,773824,784981,132589,126411
44,112796,121114,143905,166670,189760,212061,243639,266454,289110,311907,334617,348967,372220,392849,417490,440364,472420,494837,517505,False,559781,582629,604857,627756,659710,683070,705240,728285,750736,773528,785288,132515,126220
45,112570,121333,144002,166755,189627,212376,243865,266423,289027,311800,333982,349221,372228,390953,417563,440097,472243,494646,517491,286719,559707,582396,605007,628310,660247,683073,705468,728560,750686,773541,785059,132202,125974
46,112593,121120,144079,166502,189618,212534,243782,266027,288878,311940,333901,349725,372235,390611,417424,439695,472206,494880,517457,536683,559808,582342,605183,628372,660449,False,705279,729077,False,773862,785197,132410,126438
47,112699,False,143827,166562,189725,212632,243582,False,289349,312178,334776,349578,371971,392648,417690,439340,False,494642,517219,537243,559439,582238,605003,628054,660475,682951,705233,728904,750937,773685,785422,132282,126329
48,112709,970511,143886,166353,189557,212692,243777,1061887,289177,False,335465,349730,372241,395400,417642,439685,-3456001,494571,517551,537224,559510,581884,605073,628254,659822,682925,705531,728711,750809,773683,785013,132368,126278
49,113022,121189,False,166778,189672,212173,243646,266430,289219,311919,335630,349577,372156,397997,417826,439846,471917,494897,517375,537397,559459,582056,604800,628056,659737,682978,705383,728418,750749,773463,785028,132409,126368
50,112796,121173,3255039,166693,189655,212361,243827,266525,289151,311855,334491,349183,372226,399232,418161,440598,471723,494608,False,537263,559328,581957,604765,628196,659438,682690,705649,728059,750577,773652,784638,132207,126122
51,112782,121169,143749,166405,189590,212323,243921,266444,288917,311986,333501,349323,372288,398356,418020,False,471948,494767,517475,536911,559421,582128,604796,628073,659066,682435,705729,727880,750376,773877,False,132524,126334
52,112991,121034,143923,166667,189739,212532,243852,265979,289322,312227,333794,348960,372092,396018,417900,439925,False,494786,517632,536764,559269,582445,604847,627726,659220,682537,705416,727670,750774,773452,1569135,132327,126147
53,112722,121545,143762,166282,189561,212686,244057,266310,289239,311916,335003,349223,372445,393064,417506,440541,472460,494890,517402,536191,559699,582519,605282,627699,False,682121,705608,False,750699,773680,17362,132471,126136
54,112876,121302,144071,166571,189703,False,243587,266525,289405,312036,335917,349363,372257,391062,417530,440445,472514,494888,517258,536516,559719,582653,605120,627647,660226,682526,705122,-1,750958,773827,784783,132594,126388
55,112689,121335,144002,166701,189550,212200,243567,266527,289420,311848,335203,349308,372229,391040,417392,440563,472508,494555,517444,536821,559844,582444,605017,628150,660344,682829,705378,728366,751322,773624,784941,False,126166
56,112722,121408,143552,166426,189389,212375,243874,266630,289099,311911,334116,349673,372464,392456,417182,440419,472332,494601,517241,536971,559698,582177,604973,628248,660540,682969,705431,728584,750918,773764,785422,132327,126322
57,112957,121074,143774,166537,189622,212616,243793,266329,289109,312008,333634,349715,372202,395215,417773,440161,471748,494618,517330,537567,559144,581967,604749,628230,False,683013,705440,729201,750763,773346,785360,132265,126080
58,112749,121264,143845,166339,189414,212190,243968,266612,289094,311602,333900,350056,372311,397673,417855,440081,471840,494868,517336,537522,559266,581902,604971,628305,1159679,682633,False,728925,750289,773477,785498,132420,126232
59,112665,121186,144027,166565,189508,212397,243594,266504,289253,311732,335067,349872,372083,398931,418036,439518,471792,494858,517522,537375,559199,582222,605059,627561,659551,682571,705389,728526,750148,773413,785151,132486,126462
60,112441,121119,143975,166680,189577,212326,243541,266182,289171,311711,335535,349492,372001,398414,418188,439869,472125,494560,517656,536975,559311,582217,605041,627725,659312,682366,705204,728318,750663,773455,784716,132312,126176
61,112587,121199,143759,False,189494,212439,243743,266460,288921,311760,335184,349229,372580,396073,417732,440392,472737,494860,517382,536469,559868,582527,605187,627823,659061,682318,705739,727796,750687,773858,784761,132546,126333
62,112774,121099,144063,166520,189741,212726,243669,266304,289165,312005,334300,348849,372341,393577,417716,440418,472722,494592,517528,536413,559814,582632,604921,627935,659408,682473,False,727814,751046,773453,784489,132217,126186
63,112660,121195,143806,166561,189505,212353,243912,266513,288805,311799,333569,349108,372431,391329,417450,440725,472968,494679,517348,536179,559905,582450,605128,628363,659421,682277,705745,727609,750954,773617,784678,132361,126269
64,112802,120943,143942,166446,189596,212411,243717,266341,288773,311841,334185,349318,372301,390925,417356,440431,472554,494745,517149,536712,559675,582621,605069,628192,659889,682616,705315,727852,750971,773612,785005,132501,126540
65,112606,False,143803,166486,189696,212213,243676,266218,289180,311653,335010,349540,372126,392411,417649,440130,471904,494589,517273,537341,559240,582117,605023,628308,660175,682651,705288,728486,751175,773410,785100,132281,126263
66,112578,120992,143693,166805,189717,212245,243887,266600,289227,311663,335371,350010,371932,394710,417717,439813,471504,494676,517122,537463,559312,581910,605104,628293,660173,682917,704922,728806,750900,False,785551,132630,126329
67,112889,121196,144042,166542,189786,212479,243614,266132,289389,311937,335027,349763,371580,397309,418059,False,471229,494375,517632,537772,559109,581929,604813,628041,660184,683163,705002,729192,750903,773643,False,132345,126072
68,112801,120889,143768,166656,189501,212501,243775,266091,289165,311908,334065,349529,372066,398498,418055,440377,471818,494588,517540,537187,559254,581785,604907,628077,659806,682611,705643,728740,750700,773792,-4212593,132385,126157
69,112976,120929,143732,166760,189719,212724,243796,266073,289004,312018,334101,349167,372236,398201,417948,440211,472459,494937,517453,536924,559405,582331,604634,627680,659483,682428,705691,728358,750348,773720,393445,132351,126571
70,112617,121272,143796,166481,189473,212296,243975,266212,289170,311852,334544,349056,372419,396670,417860,439943,472964,494923,517431,536723,559527,582480,604794,627633,659156,682040,706011,727889,750534,773729,784993,132237,False
71,112657,121160,143906,166833,189428,212075,244015,266734,288938,311809,335117,349210,False,393888,417157,439937,473004,495160,517123,536179,559896,582562,605277,627822,659160,681888,706094,727326,750486,773490,784724,132557,-620801
72,112911,121283,144032,166541,189826,212312,243730,266355,289338,311925,335350,349218,372299,392114,417286,440265,472208,494849,517467,536518,559627,582641,605267,628090,659607,682469,705775,727943,750867,773473,784750,132403,126199
73,112539,121238,143664,166585,189595,212492,243912,266411,289324,311805,334758,349519,372182,391559,417247,440147,471791,494559,517303,536791,559605,582106,605421,628778,659883,682827,False,728594,750737,773440,784877,132481,126162
74,112784,121154,143706,166666,189706,212905,243811,266314,289084,312202,334633,349484,371967,392594,417656,440262,471348,494372,517348,537290,559256,582025,False,628408,False,683385,705984,729096,750834,773428,784759,132555,126305
75,112788,121275,143926,166636,189714,212440,243754,266020,289238,311990,334251,349571,371834,394790,418233,440079,471299,494326,517601,537683,558979,False,7733247,628298,659686,683017,705742,729178,750794,773916,785356,132425,126427
76,112731,121049,143749,166839,189501,211997,243869,266539,289163,311938,334258,349700,371746,396407,418209,440022,471902,494665,517510,537479,559117,582038,604649,627842,659532,682764,705829,728740,750454,773716,785305,132622,126047
77,112801,121097,143891,166597,189564,212375,243604,266473,289340,312118,334714,349347,372243,397774,418256,440361,472247,False,517781,False,False,581975,604746,False,659495,False,705372,728614,750795,773749,785187,132322,126288
78,112443,121000,143756,False,189381,212608,243690,266524,289285,311891,334785,349434,372397,397753,417700,440280,472997,3271679,517564,536170,559156,582425,604613,628780,659691,683258,705281,728237,751012,773584,785274,132398,126234
79,112797,121115,144012,166829,189576,212852,243554,266510,289260,312078,335018,349399,372248,396156,417376,440393,473197,494981,517227,536138,559337,582523,604847,628808,659777,682975,705172,727993,751044,773237,784705,132346,126131
80,112819,121264,143992,166540,189468,212537,243692,265892,289209,312208,334518,349175,372376,394425,417294,440356,472758,494941,517264,536375,559180,582654,604874,627749,660229,682942,705123,728034,751255,773497,784874,132258,126317
81,112731,121073,143663,166480,189283,211940,243796,266223,288790,312036,334433,349277,372153,392675,417342,439973,472333,494697,517066,537121,559542,582346,605059,626995,659885,682508,705524,727813,750970,773258,784948,132676,126016
82,112763,121235,144005,166482,189629,212001,243804,266334,289093,312165,334821,349211,372215,False,417826,440084,471607,494713,517545,537394,559574,581838,605235,626571,659534,682105,705591,728328,750791,773448,785023,132589,126216
83,112592,121224,143898,166658,189516,212089,244035,266623,289190,311820,334675,349563,371846,394195,417765,439933,471627,494575,517705,537551,559814,582065,605040,627227,659556,682185,705826,728437,750710,773709,785303,132658,126319
84,112922,121202,False,166403,189623,212704,False,266646,289335,311950,334767,349654,371635,395978,418052,440242,471771,494619,517644,537541,559819,581880,604970,628214,659244,682166,705937,728630,750604,773787,785211,132573,126145
85,112649,121180,False,166363,189620,212793,243746,266129,289454,311997,False,349653,371880,396980,418325,440485,472014,494711,517635,536972,559662,581795,604660,628832,659348,682836,705663,728851,750717,False,785438,132363,126272
86,112562,121010,287531,166844,189564,212413,243577,266212,289062,311917,334803,349842,371934,397259,417818,440000,472629,494612,517295,536678,559772,582274,604566,629075,659472,682793,705523,728255,750794,773816,785234,132637,125998
87,112804,121111,17345,166610,189749,212035,243905,266027,289166,311959,334604,349282,372357,396201,417780,439994,472616,494947,517183,536071,559291,582478,604723,628143,659856,683101,705129,728160,751304,773597,784824,132368,126188
88,112584,120913,143780,166760,189485,211741,243962,266223,288999,311719,334822,349303,372410,394499,417642,439777,472651,495049,517000,536063,559323,582737,604878,627378,660110,683247,705333,False,751179,773266,784849,132532,False
89,112859,121087,143567,166603,189748,212502,243837,266600,289027,311865,334758,349448,372518,393389,417443,440262,472587,495116,517203,536662,559224,582429,605231,627246,660087,682698,705549,727894,751127,773461,784670,132447,1011023
90,112728,121292,143762,166330,189913,212906,243893,266373,289250,312070,334539,349006,372559,392806,417372,440729,472036,494863,517522,537002,559203,582423,605179,627030,660200,682506,705378,727887,751040,773367,785127,132276,126321
91,112695,121028,143764,166437,False,212700,243614,266396,289080,311960,334555,349252,372129,393442,417310,440478,471850,494407,517390,537674,559775,582453,605267,627613,659763,682072,705791,727903,750607,773819,785004,132623,126586
92,112973,120971,143713,166335,-6193153,212459,False,266088,289402,312033,334374,349335,372025,394412,417857,440614,471733,494692,517691,537558,559857,581826,False,627878,659516,681975,705594,728173,750605,773960,785113,132493,126219
93,112637,121038,143997,166599,189684,211758,7802495,266253,289167,311721,334614,349675,372003,395608,418088,440114,471887,494571,517623,537292,559844,581774,-7089361,False,659299,681901,705421,728587,750650,773603,785273,132647,126300
94,112784,121077,143852,166556,189363,212006,243867,266565,289166,311785,334703,349685,372010,396704,False,439770,472006,494806,517388,537020,559785,581742,303469,-3485697,659115,681874,705319,728308,750526,773693,785060,132615,126261
95,112695,121224,143959,166547,189512,212533,243897,266594,289300,311597,334753,349285,372382,396353,417470,439930,472476,494804,517311,536385,559488,582051,604480,628569,659572,682700,False,728687,750805,773482,785139,132389,126270
96,112793,121087,143773,166778,189846,212699,243822,266814,288933,311628,334878,349636,372349,395848,417395,439889,473171,494722,517099,536366,559366,582344,604846,628338,659817,683018,-7340033,728890,750895,773480,False,132588,126399
97,113011,121079,143770,166404,189674,212815,243579,266112,289076,312028,334525,349323,372399,394801,417718,440428,472574,494983,517308,536394,559068,582412,604903,628160,660162,683277,705892,728615,751342,773321,785292,132309,126062
98,112632,120926,143845,166383,189568,212201,243718,265952,288906,312065,334611,349098,372268,393533,417941,440543,471858,494544,517394,536784,559312,582899,605040,627492,660452,683274,705648,False,751263,773291,785238,132367,126300
99,False,120966,143514,166511,189625,212161,243668,266388,289062,312200,334326,349018,372043,393495,417942,440580,471187,494598,517488,537465,559433,582547,605124,627023,660230,682529,705488,-1,750968,773637,785093,132559,126341
100,1804607,121123,False,166286,189688,212332,243861,266617,289319,311882,334335,349116,372146,393798,418066,440455,470934,494789,517874,537485,559412,582086,604959,627314,660120,682287,705649,727932,750908,773403,784764,132226,126146
101,56926,120995,-7578881,166561,189662,212540,243824,266908,289174,311548,334852,349702,371780,394674,417596,440157,471892,494599,517768,537638,559693,581832,605303,627704,659413,682038,705530,727821,750500,773672,784955,132392,126279
102,112592,121127,143719,166487,189466,212810,244261,266614,289391,311778,334526,349787,371916,395803,417557,440098,472785,494824,517777,537209,559634,581322,605012,628520,659200,681953,705825,727754,750635,False,784760,132285,126226
103,112664,121100,143698,166666,189801,False,244045,266250,289404,311744,334751,349890,372130,396469,417200,439826,473551,494759,517379,536840,559615,581729,604780,628826,659303,682150,705483,727932,750515,773734,784922,132359,126389
104,112664,121095,143908,166826,189728,212290,243789,266226,289283,311945,334615,349746,372140,396701,417009,440021,473469,494739,516903,536559,559505,582087,604696,628665,659622,682290,705430,728827,750589,773387,785189,132555,126348
105,112605,121288,143610,166628,189583,212291,243994,266191,289226,312030,334337,349165,372332,395705,417436,440238,472461,494842,517340,536237,559095,582572,604623,628456,660242,682867,705411,728952,751025,773343,785060,132265,126199
106,112882,120961,143868,166662,189611,212286,243683,266558,288807,311587,334509,348863,372221,394758,417831,440204,471449,False,517428,536598,559176,582821,605015,627634,False,682957,705382,729134,750802,773243,785304,132511,126430
107,112874,121065,143915,166499,189479,212560,243868,266433,289277,311754,334326,348533,372281,393801,418273,440555,470531,6815743,517734,537148,559254,582410,604784,627328,-6214817,682868,705633,728507,751099,773448,785081,132535,126326
108,112958,121070,143808,166713,189524,212587,243766,266415,289300,311768,334694,348811,372096,393095,418119,440451,471010,494830,517759,537546,559611,582405,604981,627143,330728,False,705404,727791,751065,774052,784871,132600,126333
109,112744,121002,143870,166687,189397,212243,243727,266223,289148,312008,334919,349515,False,393817,False,440173,472132,494546,517416,False,559944,581945,605216,627490,660251,682694,705584,727808,751028,773829,785047,132647,126221
110,112422,121025,143735,166444,189557,212376,243994,266041,289375,311959,334540,349926,1487679,394742,417190,440038,472982,494636,517224,536811,559783,581725,604946,False,659903,682480,705509,727606,750788,773873,784983,132429,126099
111,112668,120830,143982,166677,189530,212124,243686,266466,289267,311772,334592,350293,186778,396082,417210,439776,473666,494685,516675,536972,559784,581926,605020,628663,659543,682849,705287,728052,False,773682,False,132586,126360
112,112600,121236,143813,166552,189427,212182,243800,False,289280,311984,334231,349598,371863,396792,417409,439861,472971,494418,516752,537247,559483,581751,604887,628380,659457,682549,705743,728566,751210,773401,785133,132369,126156
113,112621,121305,143714,166777,189814,212241,243754,266245,289134,311640,334568,False,371691,396651,417685,439798,472101,494779,517033,537426,559253,582292,605107,628051,659303,682780,705574,728881,750832,773436,785123,132403,126286
114,112887,121020,143992,166874,189618,212268,243797,265879,289055,311921,334909,-6758401,372131,395941,418163,439979,471556,494605,517828,537697,559320,582652,605187,627793,659906,682931,705576,729059,750790,773192,784907,132562,126382
115,False,121160,143602,166625,189659,212415,244228,266110,289270,312163,334883,349107,372371,394457,417865,440633,470985,494652,518869,537242,559276,582902,604757,627337,659969,682531,705591,728575,750751,773403,784995,132198,126151
116,112904,121031,143879,166970,189587,212262,243764,266120,289187,311990,334901,349018,372552,False,417677,440648,471563,494657,518424,536750,559754,582785,604704,627411,660085,682602,705482,728243,750520,773649,784787,132469,126273
117,112728,False,143947,166671,189412,212476,243765,266460,289287,312373,False,349274,372549,396568,417665,440871,471875,494460,517633,536512,559681,582162,604681,627566,660115,682556,705636,727779,750848,773589,784847,132316,126003
118,112836,121148,143748,166816,189664,212608,243751,266635,289207,311982,334143,349421,372018,395374,417222,440372,472537,494782,516729,536182,559690,581958,604963,628136,659687,682700,705329,727539,750728,773954,785102,132429,126234
119,112883,121466,143945,166763,189651,212393,243751,266211,288967,311529,334199,349497,372065,394444,417317,439710,473166,494691,515972,536551,559772,581528,604975,628612,659766,682715,705433,727962,750800,773798,785099,132516,126380
120,112653,121228,143702,166524,189676,212590,244124,266407,289244,311530,334349,349504,371894,393313,417065,439886,472938,494579,516030,537076,559364,581421,605149,628401,659616,682525,705327,728195,750808,773979,785291,132371,126046
121,112941,121185,143889,166710,189650,212453,243828,266157,289137,311545,334445,349487,371990,392932,417531,440003,472766,494646,516489,537354,559305,582059,605555,628447,False,682669,705119,728585,750841,773800,785113,132616,126383
122,112939,121205,143865,166502,189473,212325,243647,266237,289319,312074,334840,349821,372220,393442,417839,440502,False,False,517845,537667,559234,582395,605207,628021,659543,682288,705572,728849,750983,773266,785209,132435,126270
123,112618,121169,143645,166375,189664,212367,243502,266584,289156,312079,334629,349570,371985,394521,417714,440596,472690,-2097153,518900,537142,559356,582775,604975,627595,659439,682266,705553,728809,750577,773426,785368,False,False
124,112778,121246,143893,166443,189466,212270,243675,266446,289018,False,334571,349437,372278,396209,418001,440162,472384,494905,519233,537011,559468,582731,604676,627575,659873,682251,705681,728675,750708,773451,784988,343807,126093
125,112751,120866,143803,166557,189717,212645,243956,266765,289125,311956,334502,349392,372359,396915,417913,440104,471928,494769,518771,536818,559251,582430,604477,627253,660184,682101,705626,727996,750864,773845,784917,132417,126220
126,112743,121120,144027,166773,False,212308,244009,False,288811,311750,334299,348971,372436,396657,417805,439753,471427,494607,517169,536642,559583,582258,604976,627697,660323,682471,705425,727674,750799,773897,784660,132232,126050
127,112558,121157,143970,166355,1518967,212105,244213,266436,288913,311712,334578,349029,372483,395935,417785,440039,471741,494646,515974,536760,559582,581610,604993,628098,660221,682576,705594,727557,False,False,784962,132415,126030
128,112612,121003,143757,166566,189609,212216,243915,266449,289121,311961,334473,349179,371832,394324,417406,440321,472006,494459,515275,536454,559517,581720,605214,628296,659849,683058,705225,727703,750034,6190943,785122,132381,126111
129,112720,121163,143983,166583,189607,212497,243738,266628,289175,311865,334772,349473,371787,393398,417705,440223,472560,494712,515667,536900,559584,581605,605244,628450,659764,683263,705306,728441,750257,774044,785074,132354,125948
130,112610,121000,143760,166421,189642,212841,243855,266441,289500,312271,334812,False,371805,392892,417600,440216,472672,494760,517133,537358,559224,581686,605057,628083,659568,682915,705327,728685,750612,773731,785436,132602,126177
131,112889,121069,143856,166786,189671,212497,243684,266261,289072,312001,334507,348507,371886,393477,417651,439936,472497,494942,518333,537497,559337,582382,604976,627967,659577,682704,705391,729182,750931,773729,785335,132347,126035
132,112779,121266,143933,166588,189803,212329,244005,266226,288935,311606,334494,349018,372288,False,417963,440071,472614,494929,519463,537612,559284,582703,604486,627520,659772,681890,705793,729181,751414,773682,785087,132372,126318
133,112721,121183,143792,166690,189494,212352,243895,266158,289046,311870,334468,349565,372431,False,417724,440118,471919,494348,519417,536874,559352,583062,604665,627452,659794,681677,705545,728359,751347,773275,784945,132327,126644
134,112762,False,143969,166633,189650,212241,243677,266527,289165,311963,334607,350176,372688,395586,417827,440005,471719,494305,518286,536565,559649,582743,604813,627834,660256,682126,705754,728217,751211,773460,784537,132425,126387
135,112642,-1,143676,166191,189542,212662,243717,266602,289445,312046,334585,350538,372408,396545,417580,440200,471749,494357,517140,536234,559406,582096,604809,627871,660225,682538,705716,727605,750645,773431,784846,132631,126490
136,112755,121210,143808,166294,189547,212561,243690,266431,289150,311994,334450,349790,372047,396287,417441,439923,471932,494309,515831,536310,559418,581561,605097,628132,660058,683055,705142,727635,750376,773712,784792,132399,126219
