,0.0 g,72.65 g,272.25 g,471.56 g,673.02 g,872.42 g,1148.61 g,1345.57 g,1544.88 g,1744.3 g,1943.91 g,2073.13 g,2272.74 g,2472.04 g,2671.46 g,2868.42 g,3149.09 g,3345.72 g,3545.14 g,3716.65 g,3913.6 g,4113.02 g,4312.33 g,4513.81 g,4792.61 g,4992.03 g,5193.52 g,5392.82 g,5589.76 g,5789.34 g,5889.38 g,172.7 g,118.07 g
585,112837,121077,143906,166557,189597,212134,243637,False,289268,311906,334527,349462,372106,396837,418408,440194,472619,493912,517523,537143,557272,581856,605368,627709,659753,682622,705028,727922,751054,773604,785011,132741,126134
586,112539,121257,143539,166773,189688,212306,243692,1066355,289015,311802,334728,349614,372106,396690,False,439982,472381,494234,517128,536424,558995,582134,604663,627860,659377,682387,704933,727339,751166,773778,784870,132565,126206
587,112824,121071,143680,166469,189411,212393,243920,133823,288912,311685,334536,349348,371772,395557,6291711,440169,472282,494334,517277,536323,561651,582294,604353,627980,659564,681992,705255,727425,750721,774086,785170,132452,126109
588,112919,121337,143619,166502,189585,212275,243819,266385,289050,311780,334584,349108,371847,393881,416852,False,472210,494903,517088,536274,562998,582273,604657,628226,False,681942,706027,727699,750627,773834,784831,132556,126234
589,113014,121135,143604,166402,189574,212508,243927,266629,288992,312212,334809,349607,372087,393203,417085,-2697089,471684,495181,517230,536831,561789,582616,605202,628028,1228799,682123,706236,728119,750520,773693,784608,132209,126071
590,113032,121066,143818,166368,189574,212357,243696,266761,289119,312159,334547,349638,372139,393223,417746,440117,471816,494916,False,537204,559940,582451,604924,628087,659831,682525,706316,728842,750495,773414,784897,132414,126341
591,False,121266,143647,166701,189574,212225,243704,266214,289030,312092,334542,349746,372283,394046,418011,440419,471998,494682,517553,537478,557456,582610,604714,627856,660240,682836,706188,728943,750809,773092,784890,132441,126272
592,225013,120918,143902,166348,189446,212402,243826,266403,288862,311587,334434,349872,372048,395432,418444,440214,472103,494302,517846,537615,557133,False,604515,627684,659970,683043,705438,False,750841,773218,784904,132324,126273
593,17334,121008,143740,166503,189588,212458,243623,266144,289199,311454,334378,349384,372095,396427,418377,440336,472483,494562,517784,537090,558497,581833,604996,627900,660088,683331,705121,727953,751000,773087,784622,132465,126326
594,112713,120993,143722,166402,189611,212661,243805,266114,289063,311916,334594,348965,372124,False,417814,440099,472517,494484,517489,537147,280032,581762,605747,627763,659774,682849,704951,728636,750976,773550,784707,132457,125982
595,112571,120933,143981,166579,189603,212341,243548,266339,289337,False,334478,348645,372244,-4070625,417625,440051,472650,494462,517457,536598,561502,582218,605325,628065,659416,682736,704980,728819,750740,773818,785120,132502,False
596,112695,121269,143550,166639,189613,212038,243732,266300,289354,312112,334992,349320,372527,396384,416998,440161,472262,494674,516982,536458,561444,582507,605068,628064,659615,682411,705007,729072,750769,773809,785176,132370,126107
