,0.0 g,72.65 g,269.84 g,470.02 g,669.36 g,870.88 g,1070.5 g,1347.91 g,1549.41 g,1748.85 g,1945.82 g,2145.44 g,2272.46 g,2469.43 g,2668.86 g,2870.37 g,3069.99 g,3350.48 g,3549.81 g,3749.24 g,3946.21 g,4145.83 g,4315.0 g,4511.98 g,4713.46 g,4813.52 g,4992.03 g,5193.54 g,5390.52 g,5589.85 g
32,230162,238505,260729,283581,305935,328827,351401,383159,405987,428445,450795,473404,487952,510463,532910,555880,578556,609804,632187,654985,678173,700135,719574,741256,764283,776305,795978,819004,841355,863856
33,230064,238323,260590,283588,306078,328552,351345,383012,405828,428368,450900,473498,488019,510045,532681,555815,578618,610222,632518,654906,677992,699819,719781,741264,764786,776200,796466,819227,841471,864106
34,229992,238250,260642,283149,305764,328736,351468,382883,405952,428160,450935,473251,487825,510021,532706,555406,578512,610243,632603,655442,FALSE,699869,719760,741417,764681,776175,796588,FALSE,841493,864050
35,230216,238316,260745,283120,305803,328644,351530,382927,405676,428426,450632,473435,487804,509974,532634,555315,578502,610205,632434,655526,-5278209,700079,719583,741641,764732,776090,FALSE,818751,841271,863879
36,229995,238273,260425,283160,305933,328706,351368,383219,405695,428534,450659,473376,487666,509919,532477,555212,578143,610184,632902,655653,677094,700174,719374,741981,764559,775705,4194303,819014,841373,863875
37,230005,238440,260566,283223,305972,328772,351613,383073,405815,FALSE,450560,473276,487492,510051,532689,555586,577924,609777,632698,655254,677014,700521,719267,742331,764222,FALSE,796146,819248,841185,863564
38,230236,238259,FALSE,283304,305974,328557,351422,382918,405764,428299,450784,473532,487870,510211,532802,556003,578076,609679,632527,654969,677085,700315,718941,FALSE,764346,7340031,795886,819224,840910,863457
39,230115,238301,1042883,283398,305746,328750,351431,382822,406009,428527,451038,473478,487954,510371,533003,556080,578153,609649,632491,654878,677458,700241,718958,3145727,764327,775591,795765,819334,840996,863405
40,230128,238460,130847,283539,305628,328814,351509,382698,405792,428304,450791,473540,488163,510477,532956,556093,578270,609740,632293,654822,678070,700401,718957,742028,FALSE,775565,795762,818956,840932,863726
41,230122,238244,260595,283434,305748,328589,351433,383043,405574,428375,450821,473327,488136,510281,532673,555744,FALSE,609976,632446,655104,678029,700168,719218,741420,764644,775843,795967,818867,841255,864153
42,230177,238321,260731,283118,305815,328753,351538,382932,405826,428600,450665,473077,487623,510316,532784,555467,FALSE,610169,632423,655191,678188,699963,FALSE,741081,764837,775923,796311,818774,841376,864149
43,230154,238365,260670,283060,306087,328487,351534,382998,405689,428563,450616,473511,487706,509971,532531,FALSE,578495,610385,632618,655455,677844,699898,718624,741272,764806,776113,796323,818474,841338,864003
44,229924,238199,260633,FALSE,306011,328623,351351,383231,405763,428454,450921,473673,487509,509799,532596,555444,578353,610300,632995,655557,677318,699878,718872,741352,764540,776101,796516,818690,841488,863860
45,230033,238270,260545,283246,305943,328853,351393,382921,405795,428155,450739,473733,487555,509948,532901,555836,578222,609987,632763,655225,677063,700153,719795,741793,764368,776119,796287,818892,841227,863606
