,Time_(s),Total_Forces,Left_Forces,Right_Forces,Back_Forces,Front_Forces,LC1,LC2,LC3,LC4
0,0.0,0.021535180732887904,0.028772668303329835,-0.007237487570441932,0.013529037937795531,0.008006142795092371,0.013402307979120422,0.00012672995867510887,-0.007364217529117041,0.015370360324209412
1,0.01204538345336914,-0.032332250423871604,-0.03196256717607922,-0.00036968324779238296,-0.01847280867304736,-0.013859441750824241,-0.028909772557792333,0.010436963884744974,-0.010806647132537357,-0.003052794618286885
2,0.024180173873901367,0.031336830008209735,0.024731898084167907,0.006604931924041824,0.02534904929323184,0.005987780714977893,0.017145969425802002,0.008203079867429837,-0.001598147943388013,0.007585928658365906
3,0.038449764251708984,-0.01894824947526138,-0.000530824639659257,-0.01841742483560212,-0.015050301652759671,-0.003897947822501706,-0.010365589112602176,-0.004684712540157495,-0.013732712295444625,0.009834764472942919
4,0.05722999572753906,0.0017313947920021143,0.025142332289052653,-0.02341093749705054,-0.0029647042644422718,0.004696099056444386,0.0005171476510070725,-0.003481851915449344,-0.019929085581601193,0.02462518463804558
5,0.06931924819946289,-0.018654619886864468,-0.018611414095048406,-4.320579181605819e-05,0.010288830413812332,-0.0289434503006768,-0.01088796047725542,0.02117679089106775,-0.02121999668288381,-0.0077234536177929886
6,0.0812678337097168,0.03506965313702495,0.02597620807628461,0.009093445060740344,0.04810095836878395,-0.013031305231758994,0.03551602908277442,0.01258492928600953,-0.003491484225269186,-0.009539821006489807
7,0.09321212768554688,-0.014309294165224501,0.008752852402366383,-0.023062146567590883,0.0010767277624312678,-0.015386021927655768,0.007307975391499243,-0.006231247629067975,-0.01683089893852291,0.0014448770108671403
8,0.10522198677062988,0.04413916052249216,0.033677555310549084,0.010461605211943078,0.05395028392857328,-0.009811123406081122,0.036038400447427656,0.017911883481145627,-0.0074502782692025486,-0.0023608451368785735
9,0.11715459823608398,-0.011532297680218458,0.020043182326196198,-0.031575480006414657,-0.009142841673676148,-0.00238945600654231,0.0011265809097691904,-0.01026942258344534,-0.02130605742296932,0.01891660141642701
10,0.12907958030700684,-0.014990529598590752,0.00043935679206072876,-0.015429886390651482,0.0026866614295838953,-0.01767719102817465,-0.0074925466070093335,0.010179208036593229,-0.02560909442724471,0.007931903399070062
11,0.14100313186645508,0.007878953718079968,0.013228932092072678,-0.005349978373992711,0.007649016632111012,0.00022993708596895542,0.003999623415362032,0.00364939321674898,-0.00899937159074169,0.009229308676710646
12,0.1529371738433838,-0.04070859428557584,-0.016863799987224627,-0.023844794298351218,-0.02275633617861396,-0.017952258106961886,-0.02142244966442917,-0.0013338865141847888,-0.02251090778416643,0.004558649677204543
13,0.16492629051208496,0.032122898306496145,0.009270109886624113,0.022852788419872032,0.025903777966874653,0.0062191203396214905,0.007046789709172621,0.01885698825770203,0.0039958001621699995,0.002223320177451491
14,0.17687296867370605,-0.010323567053674768,-0.003861336764177034,-0.0064622302894977324,-0.017372218080563277,0.007048651026888508,-0.017069354958985473,-0.0003028631215778022,-0.00615936716791993,0.013208018194808439
15,0.1887974739074707,0.004984914494098408,0.005453591769154533,-0.00046867727505612786,0.023648171666451973,-0.018663257172353565,0.005392613721104016,0.018255557945347955,-0.018724235220404083,6.097804805051715e-05
16,0.2007284164428711,0.03330001306663094,0.015682006768307694,0.017618006298323247,0.018623561163741,0.01467645190288994,0.008788027591350101,0.009835533572390899,0.007782472725932347,0.006893979176957594
17,0.21265172958374023,0.019020978124318827,0.016976696928669217,0.0020442811956496096,0.002978715619484394,0.016042262504834433,-0.004880689783743114,0.007859405403227509,-0.005815124207577899,0.021857386712412333
18,0.2246260643005371,0.06099460373742889,0.01854355916785872,0.04245104456957016,0.056272718641412985,0.004721885096015902,0.023153240119314307,0.03311947852209868,0.009331566047471488,-0.004609680951455586
19,0.2365727424621582,-0.018167157560720085,0.0032697836276909427,-0.02143694118841103,-0.01136609066510926,-0.0068010668956108265,-0.01114914615958204,-0.00021694450552722,-0.02121999668288381,0.014418929787272983
20,0.24851083755493164,0.033061136852763226,0.03344389551176877,-0.000382758659005545,0.03183084643462783,0.0012302904181353928,0.013489369873229295,0.018341476561398538,-0.018724235220404083,0.019954525638539476
21,0.26046323776245117,0.00951727290000463,-0.012474908119012322,0.02199218101901695,0.00727253262757562,0.0022447402724290093,-0.011584455630126412,0.01885698825770203,0.0031351927613149206,-0.0008904524888859114
22,0.2723879814147949,-0.00173779045174404,0.01909288820712544,-0.02083067865886948,-0.0012360424409060015,-0.0005017480108380386,0.0013007046979869384,-0.00253674713889294,-0.01829393151997654,0.017792183509138502
23,0.2843475341796875,0.0648661400038854,0.044258321276052705,0.02060781872783269,0.05048284354065482,0.014383296463230576,0.027158087248322513,0.023324756292332306,-0.0027169375644996155,0.017100234027730192
24,0.296309232711792,-0.009376658909202565,0.0010540298586034745,-0.01043068876780604,-0.013793361435954407,0.004416702526751842,-0.019332964205816195,0.005539602769861788,-0.015970291537667828,0.02038699406441967
25,0.30823540687561035,0.022434691097405913,0.03598346387317983,-0.013548772775773918,0.035845983066160665,-0.013411291968754752,0.018277774049217366,0.0175682090169433,-0.031116981792717217,0.017705689823962464
26,0.3226919174194336,-0.00102177509894422,-0.0004791176267712688,-0.000542657472172952,0.008509518832353825,-0.009531293931298045,-0.0024429567486946428,0.010952475581048468,-0.01149513305322142,0.001963839121923374
27,0.3422534465789795,0.030707666477992408,0.02302885612787549,0.007678810350116916,0.043357833083784054,-0.012650166605791647,0.008004470544370234,0.03535336253941382,-0.027674552189296903,0.015024385583505256
