,Time,Total_Forces,Left_Forces,Right_Forces,Back_Forces,Front_Forces,Total_Mass,LC1,LC2,LC3,LC4
0,0.0,0.03432896770534648,0.03522691674360991,-0.0008979490382634228,0.029758855670246633,0.004570112035099846,0.003499385087191282,-0.0003534712900816673,0.0301123269603283,0.005114589783281602,-0.0005444777481817555
1,0.012152433395385742,-0.01795852144356586,0.005041910447079967,-0.023000431890645826,0.00913055763337756,-0.02708907907694342,-0.0018306341940434107,-0.0074925466070093335,0.016623104240386894,-0.011581193793306927,-0.015507885283636494
2,0.024213075637817383,0.05745995149243839,0.03237923762290215,0.025080713869536243,0.05233321112340611,0.005126740369032283,0.005857283536436125,0.017581278896346374,0.03475193222705974,-0.0023726946041575836,0.007499434973189867
3,0.03615164756774902,-0.04715619258544839,-0.01058206013887791,-0.036574132446570484,-0.026859850743992657,-0.020296341841455734,-0.004806951333888724,-0.01985533557046944,-0.007004515173523215,-0.003577544965354694,-0.01671879687610104
4,0.04828238487243652,0.01324618254083169,0.0043539930225356075,0.008892189518296081,0.03168416131980909,-0.0184379787789774,0.0013502734496260642,0.015404731543624524,0.016279429776184566,-0.011925436753648959,-0.006512542025328443
5,0.06054091453552246,0.014151831056989878,0.017093682911854362,-0.0029418518548644827,0.005935562946689933,0.008216268110299945,0.0014425923605494268,-0.00871141312453357,0.014646976071223504,0.0024467068406308578,0.005769561269669088
6,0.07278275489807129,-0.0398811866373975,-0.007326106543156102,-0.0325550800942414,-0.012000676041153797,-0.027880510596243704,-0.0040653605134961775,-0.013673941088739386,0.0016732650475855889,-0.00899937159074169,-0.018881139005502014
7,0.08470916748046875,0.005599159096672171,0.017342911317910565,-0.011743752221238394,0.014482663945796075,-0.008883504849123904,0.000570760356439569,-0.005577184936614106,0.02005984888241018,-0.0027169375644996155,-0.006166567284624287
8,0.09663033485412598,-0.06142588459031223,-0.025456071522108353,-0.035969813068203876,-0.03579767336936979,-0.025628211220942443,-0.006261558062213275,-0.020029459358687187,-0.0157682140106826,-0.009687857511425754,-0.01594035370951669
9,0.10854721069335938,-0.020000064647486125,-0.015071573150851812,-0.004928491496634316,0.006630569298145235,-0.026630633945631362,-0.002038742573647923,0.004957304250559646,0.0016732650475855889,-0.0167448381984374,-0.009885795747193962
10,0.12046122550964355,0.0028322171454555276,0.01547430461810646,-0.012642087472650936,-0.018837234903977637,0.021669452049433165,0.0002887071504032138,-0.023947244593586516,0.005110009689608877,0.010364294928497582,0.01130515712093558
11,0.13248538970947266,0.008523838615419742,0.01106573588096074,-0.002541897265540998,0.016440326904348098,-0.007916488288928356,0.0008688928252211765,-0.0004405331841905413,0.01688086008853864,-0.005815124207577899,-0.002101364081350457
12,0.14440226554870605,0.04584877918835985,0.04451437047109848,0.0013344087172613745,0.0315299915436184,0.014318787644741447,0.004673677796978577,-0.0028782662192390128,0.034408257762857414,0.01010611270824106,0.004212674936500387
13,0.15632390975952148,-0.010490284304227805,0.009186896250641986,-0.01967718055486979,-0.007036832037210989,-0.003453452267016816,-0.0010693460045084408,-0.015153993288590245,0.008117161251379255,0.0010697349992627315,-0.004523187266279548
14,0.16823601722717285,0.02918359222613219,0.021973989142546467,0.007209603083585723,0.039252031962288776,-0.010068439736156586,0.002974881980237736,0.009397460850112218,0.029854571112176556,-0.007880581969630089,-0.0021878577665264956
15,0.18014168739318848,0.02455069982734712,0.04125799050327189,-0.016707290675924767,0.0020409887963138383,0.022509711031033282,0.0025026197581393596,-0.023947244593586516,0.025988233389900355,0.015269757113371533,0.00723995391766175
16,0.1921858787536621,0.02166380811293855,0.01622341107662434,0.005440397036314213,0.037113040023811855,-0.015449231910873305,0.0022083392571802802,0.01662359806114876,0.020489441962663096,-0.004266030886038758,-0.011183201024834546
17,0.20157861709594727,0.023635466831594114,0.016822283156349753,0.006813183675244363,0.011052951733801239,0.012582515097792875,0.002409323836044252,-0.011584455630126412,0.02263740736392765,-0.005815124207577899,0.018397639305370774
18,0.2185380458831787,-0.001131735488820092,-0.024517362327123607,0.023385626838303513,-0.0012981249794111558,0.00016638949059106373,-0.00011536549325383202,0.009658646532438841,-0.010956771511849997,-0.013560590815273608,0.013726980305864672
19,0.23297572135925293,0.017470393312662487,-0.0003910018530312309,0.01786139516569372,0.034724640706948626,-0.01725424739428614,0.0017808759747872055,0.011399884414616321,0.023324756292332306,-0.023715758145363537,0.006461510751077399
20,0.24489188194274902,0.05111729582728215,0.03291308331971106,0.018204212507571094,0.008594639693703514,0.04252265613357864,0.005210733519600627,-0.015589302759134614,0.024183942452838128,0.008729140866872933,0.03379351526670571
21,0.256854772567749,0.018002493508724026,0.0006589240362208683,0.017343569472503158,0.024502611953045927,-0.006500118444321902,0.0018351165656191667,0.01157400820283407,0.012928603750211858,-0.01226967971399099,0.005769561269669088
22,0.2687819004058838,0.04018714181387702,0.027647318158548477,0.01253982365532854,0.038327678952460316,0.0018594628614167002,0.00409654860488043,0.004434932885906402,0.033892746066553917,-0.006245427908005439,0.008104890769422139
23,0.2806894779205322,0.016201227974315065,0.01408269400114099,0.0021185339731740753,0.011951979864668573,0.004249248109646493,0.0016515013225601493,-0.0020076472781502728,0.013959627142818846,0.00012306685832214477,0.004126181251324348
24,0.2926509380340576,0.006576066520090462,0.019895455969281117,-0.013319389449190651,0.02930885634662317,-0.022732789826532707,0.000670343172282412,-0.008450227442206948,0.03775908378883012,-0.017863627819549,-0.004869162006983703
