,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Time Difference Between LC4 – LC1,Time Between First Measurements
100,33434,204677,-54057,425059,1584459848.70921,1584459848.70968,1584459848.72036,1584459848.72083,0.011621952056885,0.012096643447876
101,33304,204492,-54106,424951,1584459848.72131,1584459848.72178,1584459848.73237,1584459848.73288,0.011571645736694,0.012043952941895
102,33202,204395,-54107,425229,1584459848.73335,1584459848.73381,1584459848.74443,1584459848.7449,0.011550664901733,0.012020826339722
103,33281,204419,-54212,425216,1584459848.74537,1584459848.74589,1584459848.75647,1584459848.75696,0.011590480804443,0.012062072753906
104,33287,204647,-54067,425096,1584459848.75744,1584459848.7579,1584459848.76851,1584459848.76898,0.011548757553101,0.012021780014038
105,33481,204760,-54120,425012,1584459848.76946,1584459848.76992,1584459848.78062,1584459848.78111,0.011647939682007,0.012119293212891
106,33279,204686,-53974,424898,1584459848.78158,1584459848.78205,1584459848.79265,1584459848.79313,0.011554718017578,0.012051105499268
107,33343,204591,-53892,424890,1584459848.79363,1584459848.79411,1584459848.80474,1584459848.80521,0.011585712432861,0.012057781219483
108,33250,204348,-54232,424935,1584459848.80569,1584459848.80615,1584459848.81679,1584459848.81729,0.011609077453613,0.012386322021484
109,33265,204557,-54247,425124,1584459848.81807,1584459848.81858,1584459848.8292,1584459848.82968,0.011608839035034,0.06283974647522
110,33599,204173,-54290,425041,1584459848.88091,1584459848.88138,1584459848.88185,1584459848.88233,0.001420497894287,0.012091875076294
111,33231,204506,-54249,425095,1584459848.893,1584459848.89347,1584459848.89394,1584459848.89441,0.001411437988281,0.011991024017334
112,33303,204601,-54318,424988,1584459848.90499,1584459848.90546,1584459848.90597,1584459848.90644,0.00144624710083,0.012122869491577
113,33439,204675,-54086,425045,1584459848.91712,1584459848.91759,1584459848.91806,1584459848.91853,0.001412153244019,0.012027978897095
114,33369,204681,-54085,424939,1584459848.92915,1584459848.92961,1584459848.93018,1584459848.93069,0.001545429229736,0.012135982513428
115,33415,204424,-54154,425023,1584459848.94128,1584459848.94174,1584459848.99278,1584459848.99326,0.051974296569824,0.052449464797974
116,33370,204512,-54006,425007,1584459848.99373,1584459848.9942,1584459849.0048,1584459849.00528,0.011545181274414,0.012019634246826
117,33487,204382,-54135,424898,1584459849.00575,1584459849.00621,1584459849.01683,1584459849.01731,0.011557817459107,0.012076616287232
118,33407,204652,-54178,424953,1584459849.01783,1584459849.01829,1584459849.0289,1584459849.02937,0.011538743972778,0.012007713317871
119,49151,204656,-54174,424836,1584459849.02983,1584459849.03049,1584459849.04109,1584459849.04157,0.011731624603272,0.012204170227051
120,33282,204459,-54041,425074,1584459849.04204,1584459849.09318,1584459849.09366,1584459849.09413,0.052092552185059,0.052566289901733
121,33298,204529,-54154,425080,1584459849.09461,1584459849.10519,1584459849.10606,1584459849.10656,0.011955738067627,0.012449979782105
122,33212,204436,-54192,424979,1584459849.10706,1584459849.11769,1584459849.11816,1584459849.11863,0.011576652526856,0.012049913406372
123,33296,204574,-54192,425042,1584459849.1191,1584459849.12971,1584459849.13028,1584459849.13079,0.011680126190186,0.01215124130249
124,33381,204639,-54298,425049,1584459849.13126,1584459849.14186,1584459849.14233,1584459849.1428,0.011545658111572,0.012022256851196
125,33682,204581,-54149,425173,1584459849.14328,1584459849.15386,1584459849.15433,1584459849.15486,0.011585474014282,0.012061834335327
126,33404,204480,-54064,425188,1584459849.15534,1584459849.16596,1584459849.16644,1584459849.16692,0.011576890945435,0.012059211730957
127,33261,204634,-54191,425089,1584459849.1674,1584459849.17806,1584459849.17855,1584459849.17904,0.011642694473267,0.012118577957153
128,33417,204604,-54156,425035,1584459849.17952,1584459849.17998,1584459849.18056,1584459849.19114,0.01162576675415,0.01209831237793
129,33327,204513,-54224,424931,1584459849.19162,1584459849.19208,1584459849.19254,1584459849.20317,0.011557579040527,0.012032985687256
130,33320,204654,-54280,425016,1584459849.20365,1584459849.20411,1584459849.20459,1584459849.21517,0.011521339416504,0.011998891830444
131,33258,204472,-54169,425138,1584459849.21565,1584459849.21612,1584459849.21659,1584459849.22721,0.011563301086426,0.012037992477417
132,33392,204536,-54278,425141,1584459849.22769,1584459849.22815,1584459849.22863,1584459849.23925,0.01155948638916,0.012033700942993
133,33322,204384,-54153,425056,1584459849.23972,1584459849.24027,1584459849.24074,1584459849.25132,0.011596202850342,0.012068510055542
134,33260,204514,-54121,424968,1584459849.25179,1584459849.25225,1584459849.25274,1584459849.26334,0.011552333831787,0.012024879455566
135,33402,204779,-54109,425008,1584459849.26381,1584459849.26428,1584459849.26474,1584459849.27534,0.011523008346558,0.011996984481812
136,33445,204694,False,424990,1584459849.27581,1584459849.27628,1584459849.27677,1584459849.28746,0.011651039123535,0.012149095535278
137,33455,204663,-3153921,424903,1584459849.28796,1584459849.28844,1584459849.2892,1584459849.28972,0.00176215171814,0.012517690658569
138,33172,204686,-54140,424944,1584459849.30048,1584459849.301,1584459849.30146,1584459849.30194,0.001461744308472,0.012174606323242
139,33361,204534,-54060,424902,1584459849.31265,1584459849.31312,1584459849.31359,1584459849.31406,0.001408815383911,0.012124061584473
140,33333,204514,-54099,425123,1584459849.32478,1584459849.32524,1584459849.32571,1584459849.32619,0.001410484313965,0.012007474899292
141,33267,204674,-54185,425164,1584459849.33678,1584459849.33725,1584459849.33774,1584459849.33823,0.001445055007935,0.01207709312439
142,33544,204717,-54167,425061,1584459849.34886,1584459849.34933,1584459849.3498,1584459849.35044,0.001578569412231,0.012231826782227
143,33301,204690,-54111,425089,1584459849.36109,1584459849.36156,1584459849.36203,1584459849.3625,0.001405000686646,0.012052297592163
144,33442,204598,-53998,425019,1584459849.37314,1584459849.37361,1584459849.37407,1584459849.37455,0.001404523849487,0.012025594711304
145,33394,204513,-54177,425005,1584459849.38517,1584459849.38567,1584459849.38616,1584459849.38665,0.001480102539063,0.01206374168396
146,33364,204508,-54151,425093,1584459849.39723,1584459849.3977,1584459849.39816,1584459849.39863,0.001397371292114,0.011996984481812
147,33426,204680,-54232,425058,1584459849.40923,1584459849.4097,1584459849.41025,1584459849.41094,0.001710891723633,0.012454986572266
148,33394,204613,-54272,425119,1584459849.42169,1584459849.4222,1584459849.4227,1584459849.42319,0.001508235931396,0.012209177017212
149,33517,204389,-54076,425138,1584459849.43389,1584459849.43437,1584459849.43488,1584459849.43536,0.001460790634155,0.012195825576782
150,33341,204546,-54166,425055,1584459849.44609,1584459849.44657,1584459849.44704,1584459849.44752,0.001430034637451,0.012053728103638
151,33382,204615,-54146,425215,1584459849.45814,1584459849.45863,1584459849.45912,1584459849.45959,0.0014488697052,0.01217794418335
152,33344,204585,-54036,424890,1584459849.47032,1584459849.47079,1584459849.47126,1584459849.47175,0.001423358917236,0.062634229660034
153,33458,204684,-54155,424990,1584459849.53296,1584459849.53343,1584459849.5339,1584459849.53437,0.001412391662598,0.012008190155029
154,33572,204632,-54069,425007,1584459849.54497,1584459849.54543,1584459849.54595,1584459849.54643,0.001469850540161,0.012083292007446
155,33361,204545,-54072,425166,1584459849.55705,1584459849.55751,1584459849.55798,1584459849.55845,0.001399040222168,0.012009620666504
156,33399,204671,-54162,425126,1584459849.56906,1584459849.56952,1584459849.56999,1584459849.57059,0.001531362533569,0.012141227722168
157,33286,204557,-54047,425017,1584459849.5812,1584459849.58167,1584459849.58213,1584459849.58261,0.001406192779541,0.012014627456665
158,33375,204712,-54115,424999,1584459849.59321,1584459849.59371,1584459849.59419,1584459849.59469,0.001474380493164,0.012058019638062
159,33487,204704,-54180,425163,1584459849.60527,1584459849.60574,1584459849.6062,1584459849.60667,0.001400232315063,0.01200795173645
160,33513,204624,-54147,425172,1584459849.61728,1584459849.61774,1584459849.61821,1584459849.6187,0.00142502784729,0.012053489685059
161,33456,204647,-54251,424985,1584459849.62933,1584459849.6298,1584459849.63038,1584459849.63086,0.001526832580566,0.012115478515625
162,33369,204725,-54281,425077,1584459849.64145,1584459849.64195,1584459849.64242,1584459849.64293,0.00147819519043,0.012087345123291
163,33988,204984,-54057,425127,1584459849.65354,1584459849.654,1584459849.65446,1584459849.65494,0.001402378082275,0.011985063552857
164,34661,205091,-54044,424937,1584459849.66552,1584459849.66599,1584459849.66645,1584459849.66696,0.001435279846191,0.012066841125488
165,35220,205468,-54096,425042,1584459849.67759,1584459849.67806,1584459849.67852,1584459849.67899,0.001405477523804,0.012019157409668
166,35556,206059,-54112,426668,1584459849.68961,1584459849.6902,1584459849.6907,1584459849.69119,0.001584053039551,0.012173891067505
167,36071,206322,-54116,456034,1584459849.70178,1584459849.70225,1584459849.70271,1584459849.70318,0.001402139663696,0.012018918991089
168,40780,212099,-49493,514728,1584459849.7138,1584459849.71427,1584459849.71478,1584459849.71526,0.001461744308472,0.012073516845703
169,78119,263382,-9126,523683,1584459849.72587,1584459849.72634,1584459849.72681,1584459849.72728,0.001404285430908,0.012060880661011
170,201616,373725,51752,449241,1584459849.73793,1584459849.7384,1584459849.7389,1584459849.73937,0.001432657241821,0.012017726898193
171,2097151,318223,28583,430166,1584459849.74995,1584459849.75051,1584459849.75098,1584459849.75145,0.001498460769653,0.012102842330933
172,207146,296182,-45613,436234,1584459849.76205,1584459849.81314,1584459849.81362,1584459849.8141,0.052042961120606,0.052518129348755
173,195477,287752,-44851,433523,1584459849.81457,1584459849.82521,1584459849.8257,1584459849.82618,0.011609554290772,0.012130975723267
174,193979,290236,-38721,435498,1584459849.8267,1584459849.83731,1584459849.83778,1584459849.83825,0.011543035507202,0.012016534805298
175,195326,295245,-36865,434604,1584459849.83872,1584459849.84929,1584459849.8498,1584459849.85036,0.011642932891846,0.01215410232544
176,195030,295735,-37184,436796,1584459849.85087,1584459849.86147,1584459849.86194,1584459849.91298,0.062103748321533,0.062587261199951
177,192787,290774,-36921,438282,1584459849.91346,1584459849.91397,1584459849.91444,1584459849.92507,0.011605262756348,0.012083530426025
178,199990,294477,-36191,438743,1584459849.92555,1584459849.92602,1584459849.92649,1584459849.93711,0.011564254760742,0.012040138244629
179,207588,297469,-36349,440344,1584459849.93759,1584459849.93805,1584459849.93854,1584459849.94914,0.01155424118042,0.012031555175781
180,213490,299126,-36635,440671,1584459849.94962,1584459849.95018,1584459849.95065,1584459849.96125,0.011636018753052,0.012159824371338
181,213924,299139,-36849,440972,1584459849.96178,1584459849.96224,1584459849.96273,1584459849.97331,0.011537075042725,0.012010335922241
182,212877,298817,-37671,441282,1584459849.97379,1584459849.97425,1584459849.97472,1584459849.98533,0.011547565460205,0.012022256851196
183,211018,298563,-37889,441288,1584459849.98581,1584459849.98627,1584459849.98679,1584459849.99737,0.011556386947632,0.012037754058838
184,207766,298385,-37612,442363,1584459849.99785,1584459849.99832,1584459849.99879,1584459850.00937,0.011527061462402,0.012042284011841
185,205327,298214,-36798,442869,1584459850.00989,1584459850.01045,1584459850.01096,1584459850.02156,0.011666774749756,0.012142181396484
186,202359,299625,-34667,444145,1584459850.02203,1584459850.02249,1584459850.02296,1584459850.03357,0.011535167694092,0.012012004852295
187,200545,300122,-33262,444555,1584459850.03404,1584459850.03453,1584459850.03502,1584459850.04562,0.011575937271118,0.012051343917847
188,196818,299683,-32187,444774,1584459850.0461,1584459850.04656,1584459850.04704,1584459850.05764,0.011545658111572,0.012033939361572
189,193321,299408,-31517,445129,1584459850.05813,1584459850.05861,1584459850.0591,1584459850.06971,0.011577844619751,0.012225866317749
190,192380,299139,-31337,445174,1584459850.07035,1584459850.07082,1584459850.07129,1584459850.08192,0.011561632156372,0.012038707733154
191,191181,298839,-31183,445286,1584459850.08239,1584459850.08291,1584459850.08338,1584459850.09396,0.0115647315979,0.012036800384522
192,192553,298618,-31976,444869,1584459850.09443,1584459850.0949,1584459850.09536,1584459850.10599,0.011564254760742,0.012037515640259
193,193922,298627,-32493,444432,1584459850.10647,1584459850.10698,1584459850.10745,1584459850.11803,0.011561870574951,0.012031555175781
194,196910,300123,-33300,443616,1584459850.1185,1584459850.11896,1584459850.11943,1584459850.13015,0.011654138565064,0.012168645858765
195,201806,301670,-34640,442814,1584459850.13067,1584459850.13115,1584459850.13162,1584459850.14222,0.011556386947632,0.012030601501465
196,205041,303182,-35376,442283,1584459850.1427,1584459850.14316,1584459850.14363,1584459850.15423,0.011531829833984,0.012024879455566
197,209022,305634,-35414,441979,1584459850.15472,1584459850.1552,1584459850.15567,1584459850.16627,0.01154375076294,0.01201605796814
198,212359,307599,-34775,441811,1584459850.16674,1584459850.16721,1584459850.16767,1584459850.17825,0.01150918006897,0.02218222618103
199,213292,308176,-34345,441641,1584459850.18892,1584459850.18939,1584459850.18986,1584459850.19042,0.001494884490967,0.022759914398193
200,208952,306041,-34547,441713,1584459850.21168,1584459850.21222,1584459850.21274,1584459850.21322,0.001535892486572,0.002011060714722
201,207019,304945,-34995,441502,1584459850.21369,1584459850.22439,1584459850.22489,1584459850.22537,0.011677026748657,0.012159824371338
202,206382,304461,-35617,440994,1584459850.22585,1584459850.23659,1584459850.23709,1584459850.23758,0.011722564697266,0.012199401855469
203,207970,305416,-35958,440495,1584459850.23805,1584459850.24866,1584459850.24913,1584459850.24963,0.011573314666748,0.012173414230347
204,210210,307031,-36594,439888,1584459850.25023,1584459850.25072,1584459850.25121,1584459850.26206,0.011834144592285,0.012360334396362
205,212393,308361,-37200,False,1584459850.26259,1584459850.26309,1584459850.26358,1584459850.27445,0.011868476867676,0.012474536895752
206,214427,309912,-38005,434708,1584459850.27506,1584459850.27555,1584459850.27603,1584459850.28692,0.011857509613037,0.063036918640137
207,224900,315671,-39413,434474,1584459850.3381,1584459850.33859,1584459850.33909,1584459850.33957,0.00147008895874,0.012178897857666
208,224091,314695,-39420,434360,1584459850.35028,1584459850.35075,1584459850.35122,1584459850.3517,0.001421213150024,0.012014865875244
209,222814,313235,-39831,434454,1584459850.36229,1584459850.36279,1584459850.36326,1584459850.36373,0.001437425613403,0.012049436569214
210,222217,312273,-40341,434716,1584459850.37434,1584459850.37481,1584459850.37527,1584459850.37574,0.00140380859375,0.012014150619507
211,221988,311911,-40848,434543,1584459850.38635,1584459850.38687,1584459850.38733,1584459850.3878,0.001449823379517,0.01205849647522
212,222281,312249,-40915,434471,1584459850.39841,1584459850.39888,1584459850.39935,1584459850.39982,0.001405477523804,0.012070417404175
213,223080,313473,-40803,433683,1584459850.41048,1584459850.411,1584459850.41148,1584459850.41196,0.001473188400269,0.012066841125488
214,223405,313773,-40978,432871,1584459850.42255,1584459850.42301,1584459850.42348,1584459850.42395,0.001397848129272,0.012049198150635
215,223500,313515,-41086,432269,1584459850.4346,1584459850.43509,1584459850.43556,1584459850.43603,0.001428604125977,0.012012720108032
216,223521,313506,-41835,431769,1584459850.44661,1584459850.44708,1584459850.44755,1584459850.44803,0.001418352127075,0.012059926986694
