,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,84155,214582,-58204,369121,1587475121.8518374,1587475121.8523965,1587475121.852858,1587475121.8534384,1587475121.852392,1587475121.8528543,1587475121.8534176,1587475121.8539107
1,84532,214633,-58217,369315,1587475121.853921,1587475121.8646474,1587475121.8651454,1587475121.8656168,1587475121.8646424,1587475121.8651414,1587475121.865613,1587475121.8661273
2,84107,214271,-58476,369054,1587475121.8661392,1587475121.876842,1587475121.8773868,1587475121.8778577,1587475121.8768358,1587475121.877383,1587475121.8778536,1587475121.8783228
3,84408,214435,-58226,369221,1587475121.8783367,1587475121.8889441,1587475121.8894014,1587475121.889899,1587475121.88894,1587475121.8893976,1587475121.889895,1587475121.8903782
4,84125,214305,-58371,369285,1587475121.8903883,1587475121.901503,1587475121.901997,1587475121.9025881,1587475121.9014957,1587475121.901992,1587475121.9025817,1587475121.9030614
5,84096,214474,-58173,369125,1587475121.9030747,1587475121.914131,1587475121.9146235,1587475121.9151416,1587475121.9141243,1587475121.9146197,1587475121.9151378,1587475121.9156168
6,84409,214682,-58207,369124,1587475121.9156299,1587475121.9262476,1587475121.926705,1587475121.927188,1587475121.9262433,1587475121.9267008,1587475121.9271686,1587475121.9276593
7,84076,214283,-58302,368917,1587475121.9276698,1587475121.9382622,1587475121.9387565,1587475121.9392157,1587475121.9382582,1587475121.9387524,1587475121.9392118,1587475121.9396882
8,84455,214973,-58143,369230,1587475121.9396992,1587475121.950279,1587475121.9507365,1587475121.9512403,1587475121.9502738,1587475121.950732,1587475121.9512355,1587475121.951697
9,84141,214924,-58469,369419,1587475121.9517083,1587475121.9521935,1587475121.9627686,1587475121.9633715,1587475121.952189,1587475121.9627645,1587475121.9633675,1587475121.963863
10,84270,214515,-58311,368942,1587475121.9638734,1587475121.9643264,1587475121.9749842,1587475121.9754455,1587475121.9643223,1587475121.97498,1587475121.9754415,1587475121.975906
11,84272,214668,-58228,369340,1587475121.9759157,1587475121.9764247,1587475121.9869916,1587475121.9874954,1587475121.976418,1587475121.9869876,1587475121.9874914,1587475121.9879541
